trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.834028357,1,entry,1,1,,,,
2021-12-06,2021-12-03,sell,159851.SZ,1.18,0.834028357,0.9841534612,entry_rank,14,15,-0.01584653878,4,-0.01834862385,0
2021-12-06,2021-12-03,buy,512660.SH,1.473,0.6681286227,0.9841534612,entry,1,2,,,,
2021-12-08,2021-12-07,sell,512660.SH,1.421,0.6681286227,0.9494107728,entry_rank,18,18,-0.03530210455,2,-0.04480651731,0.01086218601
2021-12-08,2021-12-07,buy,512690.SH,1.32,0.7192505855,0.9494107728,entry,1,1,,,,
2021-12-16,2021-12-15,sell,512690.SH,1.392,0.7192505855,1.001196815,entry_rank,3,2,0.05454545455,8,-0.006060606061,0.08484848485
2021-12-16,2021-12-15,buy,512980.SH,0.81,1.236045451,1.001196815,entry,1,1,,,,
2021-12-21,2021-12-20,sell,512980.SH,0.795,1.236045451,0.9826561332,entry_rank,5,3,-0.01851851852,5,-0.02098765432,0.02962962963
2021-12-21,2021-12-20,buy,516970.SH,1.23,0.7989074254,0.9826561332,entry,1,1,,,,
2021-12-23,2021-12-22,sell,516970.SH,1.221,0.7989074254,0.9754659664,entry_rank,7,8,-0.007317073171,2,-0.009756097561,0.01382113821
2021-12-23,2021-12-22,buy,512200.SH,0.811,1.20279404,0.9754659664,entry,1,2,,,,
2021-12-24,2021-12-23,sell,512200.SH,0.804,1.20279404,0.9670464081,entry_rank,6,8,-0.008631319359,1,-0.01479654747,0.006165228113
2021-12-24,2021-12-23,buy,516520.SH,1.283,0.7537384319,0.9670464081,entry,1,1,,,,
2021-12-29,2021-12-28,sell,516520.SH,1.246,0.7537384319,0.9391580861,entry_rank,5,3,-0.02883865939,5,-0.02883865939,0.005455962588
2021-12-29,2021-12-28,buy,159941.SZ,3.266,0.2875560582,0.9391580861,entry,1,1,,,,
2021-12-31,2021-12-30,sell,159941.SZ,3.245,0.2875560582,0.9331194089,entry_rank,6,5,-0.00642988365,2,-0.003674219228,0.001837109614
2021-12-31,2021-12-30,buy,512660.SH,1.458,0.6399995946,0.9331194089,entry,1,2,,,,
2022-01-05,2022-01-04,sell,512660.SH,1.438,0.6399995946,0.920319417,entry_rank,4,5,-0.01371742112,5,-0.01646090535,0.006172839506
2022-01-05,2022-01-04,buy,512980.SH,0.887,1.037564168,0.920319417,entry,1,1,,,,
2022-01-11,2022-01-10,sell,512980.SH,0.859,1.037564168,0.8912676203,entry_rank,6,4,-0.03156708005,6,-0.05186020293,0.01803833145
2022-01-11,2022-01-10,buy,516970.SH,1.267,0.7034472141,0.8912676203,entry,1,1,,,,
2022-01-14,2022-01-13,sell,516970.SH,1.219,0.7034472141,0.857502154,entry_rank,8,6,-0.03788476717,3,-0.03867403315,0.005524861878
2022-01-14,2022-01-13,buy,512800.SH,1.179,0.7273131078,0.857502154,entry,1,2,,,,
2022-01-17,2022-01-14,sell,512800.SH,1.153,0.7273131078,0.8385920132,entry_rank,6,3,-0.02205258694,3,-0.02205258694,0.0008481764207
2022-01-17,2022-01-14,buy,516520.SH,1.217,0.6890649246,0.8385920132,entry,1,1,,,,
2022-01-20,2022-01-19,sell,516520.SH,1.235,0.6890649246,0.8509951819,entry_rank,5,4,0.01479046836,3,0,0.04026294166
2022-01-20,2022-01-19,buy,159851.SZ,1.269,0.6706029802,0.8509951819,entry,1,1,,,,
2022-01-25,2022-01-24,sell,159851.SZ,1.267,0.6706029802,0.8496539759,entry_rank,4,1,-0.001576044129,5,-0.02521670607,0.01970055162
2022-01-25,2022-01-24,buy,516970.SH,1.236,0.6874223106,0.8496539759,entry,1,3,,,,
2022-01-26,2022-01-25,sell,516970.SH,1.204,0.6874223106,0.827656462,entry_rank,3,3,-0.02588996764,1,-0.02750809061,0.006472491909
2022-01-26,2022-01-25,buy,512800.SH,1.181,0.7008098747,0.827656462,entry,1,1,,,,
2022-02-10,2022-02-09,sell,512800.SH,1.208,0.7008098747,0.8465783286,entry_rank,5,4,0.02286198137,15,-0.01693480102,0.03302286198
2022-02-10,2022-02-09,buy,515220.SH,1.94,0.4363805818,0.8465783286,entry,1,1,,,,
2022-02-16,2022-02-15,sell,515220.SH,1.995,0.4363805818,0.8705792606,entry_rank,8,7,0.02835051546,6,-0.003608247423,0.07731958763
2022-02-16,2022-02-15,buy,512400.SH,1.319,0.6600297654,0.8705792606,entry,1,1,,,,
2022-02-22,2022-02-21,sell,512400.SH,1.377,0.6600297654,0.908860987,entry_rank,4,4,0.0439727066,6,-0.005307050796,0.04321455648
2022-02-22,2022-02-21,buy,515220.SH,2.15,0.4227260405,0.908860987,entry,1,1,,,,
2022-02-28,2022-02-25,sell,515220.SH,2.047,0.4227260405,0.8653202048,entry_rank,12,13,-0.04790697674,6,-0.06651162791,0.01209302326
2022-02-28,2022-02-25,buy,159995.SZ,1.475,0.586657766,0.8653202048,entry,1,3,,,,
2022-03-01,2022-02-28,sell,159995.SZ,1.483,0.586657766,0.870013467,entry_rank,3,3,0.005423728814,1,-0.00813559322,0.009491525424
2022-03-01,2022-02-28,buy,515790.SH,1.607,0.5413898363,0.870013467,entry,1,1,,,,
2022-03-04,2022-03-03,sell,515790.SH,1.537,0.5413898363,0.8321161784,entry_rank,4,2,-0.0435594275,3,-0.03920348475,0.01306782825
2022-03-04,2022-03-03,buy,515220.SH,2.233,0.3726449523,0.8321161784,entry,1,1,,,,
