trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.834028357,1,entry,1,1,,,,
2021-12-06,2021-12-03,sell,159851.SZ,1.18,0.834028357,0.9841534612,momentum,14,15,-0.01584653878,4,-0.01834862385,0
2021-12-06,2021-12-03,buy,512660.SH,1.473,0.6681286227,0.9841534612,entry,1,2,,,,
2021-12-08,2021-12-07,sell,512660.SH,1.421,0.6681286227,0.9494107728,momentum,18,18,-0.03530210455,2,-0.04480651731,0.01086218601
2021-12-08,2021-12-07,buy,512690.SH,1.32,0.7192505855,0.9494107728,entry,1,1,,,,
2021-12-20,2021-12-17,sell,512690.SH,1.335,0.7192505855,0.9601995316,momentum,14,12,0.01136363636,12,-0.006060606061,0.08484848485
2021-12-20,2021-12-17,buy,512980.SH,0.818,1.173838058,0.9601995316,entry,1,1,,,,
2021-12-30,2021-12-29,sell,512980.SH,0.803,1.173838058,0.9425919607,momentum,21,18,-0.01833740831,10,-0.03056234719,0.03300733496
2021-12-30,2021-12-29,buy,512660.SH,1.411,0.6680311557,0.9425919607,entry,1,2,,,,
2022-01-06,2022-01-05,sell,512660.SH,1.36,0.6680311557,0.9085223718,momentum,15,15,-0.03614457831,7,-0.03047484054,0.03968816442
2022-01-06,2022-01-05,buy,159869.SZ,1.149,0.7907070251,0.9085223718,entry,1,1,,,,
2022-01-13,2022-01-12,sell,159869.SZ,1.087,0.7907070251,0.8594985363,momentum,14,14,-0.05395996519,7,-0.06788511749,0.0226283725
2022-01-13,2022-01-12,buy,516970.SH,1.237,0.6948250091,0.8594985363,entry,1,1,,,,
2022-01-17,2022-01-14,sell,516970.SH,1.189,0.6948250091,0.8261469358,momentum,18,17,-0.03880355699,4,-0.03718674212,0.006467259499
2022-01-17,2022-01-14,buy,516520.SH,1.217,0.6788388955,0.8261469358,entry,1,1,,,,
2022-01-26,2022-01-25,sell,516520.SH,1.177,0.6788388955,0.79899338,momentum,13,12,-0.03286770748,9,-0.05505341002,0.04026294166
2022-01-26,2022-01-25,buy,512800.SH,1.181,0.6765396952,0.79899338,entry,1,1,,,,
2022-02-16,2022-02-15,sell,512800.SH,1.19,0.6765396952,0.8050822373,momentum,19,13,0.007620660457,21,-0.01693480102,0.04741744285
2022-02-16,2022-02-15,buy,512400.SH,1.319,0.6103731897,0.8050822373,entry,1,1,,,,
2022-03-10,2022-03-09,sell,512400.SH,1.278,0.6103731897,0.7800569365,momentum,14,12,-0.03108415466,22,-0.07581501137,0.08794541319
2022-03-10,2022-03-09,buy,515220.SH,2.158,0.361472167,0.7800569365,entry,1,1,,,,
2022-03-16,2022-03-15,sell,515220.SH,1.946,0.361472167,0.7034248371,momentum,13,11,-0.09823911029,6,-0.1107506951,0.03151065802
2022-03-16,2022-03-15,buy,159941.SZ,2.636,0.2668531248,0.7034248371,entry,1,2,,,,
2022-04-08,2022-04-07,sell,159941.SZ,2.87,0.2668531248,0.7658684683,momentum,16,13,0.08877086495,23,-0.001896813354,0.1475720789
2022-04-08,2022-04-07,buy,512200.SH,0.883,0.8673482087,0.7658684683,entry,1,1,,,,
2022-04-14,2022-04-13,sell,512200.SH,0.849,0.8673482087,0.7363786292,momentum,13,13,-0.03850509626,6,-0.05889014723,0.04756511891
2022-04-14,2022-04-13,buy,515220.SH,2.378,0.3096630064,0.7363786292,entry,1,1,,,,
2022-04-22,2022-04-21,sell,515220.SH,2.2,0.3096630064,0.681258614,momentum,16,13,-0.07485281749,8,-0.06728343146,0.1021867115
2022-04-22,2022-04-21,buy,159941.SZ,2.745,0.2481816445,0.681258614,entry,1,1,,,,
2022-05-09,2022-05-06,sell,159941.SZ,2.634,0.2481816445,0.6537104515,momentum,21,16,-0.04043715847,17,-0.03715846995,0.01493624772
2022-05-09,2022-05-06,buy,512660.SH,1.007,0.6491662875,0.6537104515,entry,1,1,,,,
2022-05-17,2022-05-16,sell,512660.SH,1.037,0.6491662875,0.6731854401,momentum,20,18,0.02979145978,8,-0.006951340616,0.0585898709
2022-05-17,2022-05-16,buy,515030.SH,1.772,0.3799014899,0.6731854401,entry,1,1,,,,
2022-05-26,2022-05-25,sell,515030.SH,1.842,0.3799014899,0.6997785444,momentum,15,11,0.039503386,9,-0.001128668172,0.0874717833
2022-05-26,2022-05-25,buy,515220.SH,2.349,0.297904872,0.6997785444,entry,1,1,,,,
2022-06-06,2022-06-02,sell,515220.SH,2.391,0.297904872,0.712290549,momentum,21,17,0.01787994891,11,-0.008088548318,0.05576841209
2022-06-06,2022-06-02,buy,516520.SH,0.927,0.7683824693,0.712290549,entry,1,1,,,,
2022-06-10,2022-06-09,sell,516520.SH,0.91,0.7683824693,0.6992280471,momentum,14,12,-0.01833872708,4,-0.01725997843,0.04638619202
2022-06-10,2022-06-09,buy,515030.SH,2.054,0.340422613,0.6992280471,entry,1,1,,,,
2022-06-30,2022-06-29,sell,515030.SH,2.32,0.340422613,0.7897804621,momentum,19,12,0.129503408,20,-0.00535540409,0.1908471276
2022-06-30,2022-06-29,buy,516520.SH,1.018,0.7758157781,0.7897804621,entry,1,2,,,,
2022-07-05,2022-07-04,sell,516520.SH,1.013,0.7758157781,0.7859013832,momentum,22,20,-0.004911591356,5,-0.01866404715,0.02259332024
2022-07-05,2022-07-04,buy,159992.SZ,1.139,0.6899924348,0.7859013832,entry,1,1,,,,
2022-07-13,2022-07-12,sell,159992.SZ,1.055,0.6899924348,0.7279420187,momentum,16,14,-0.07374890255,8,-0.0755048288,0.01316944688
2022-07-13,2022-07-12,buy,159611.SZ,0.953,0.7638426219,0.7279420187,entry,1,1,,,,
2022-07-20,2022-07-19,sell,159611.SZ,0.945,0.7638426219,0.7218312777,momentum,15,12,-0.008394543547,7,-0.0241343127,0.01783840504
2022-07-20,2022-07-19,buy,516520.SH,1.035,0.6974215244,0.7218312777,entry,1,1,,,,
