trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-12-02,0.9824854045,0,0,1,-0.0175145955,-0.0175145955,0.5,159851.SZ
2021-12-03,0.9833194329,0,0,1,0.0008488964346,-0.01668056714,0,159851.SZ
2021-12-06,0.9733110926,0,0,1,-0.01017811705,-0.02668890742,0,159851.SZ
2021-12-07,0.9824854045,0,0,1,0.00942587832,-0.0175145955,0,159851.SZ
2021-12-08,0.9958298582,0,0,1,0.01358234295,-0.004170141785,0,159851.SZ
2021-12-09,1,0,0,1,0.00418760469,-1.110223025e-16,0,159851.SZ
2021-12-10,0.9899916597,0,0,1,-0.01000834028,-0.01000834028,0,159851.SZ
2021-12-13,1.006672227,0,0,1,0.01684919966,0,0,159851.SZ
2021-12-14,1.030859049,0,0,1,0.02402651201,0,0,159851.SZ
2021-12-15,1.028356964,0,0,1,-0.002427184466,-0.002427184466,0,159851.SZ
2021-12-16,1.030859049,0,0,1,0.002433090024,0,0,159851.SZ
2021-12-17,1.020850709,0,0,1,-0.009708737864,-0.009708737864,0,159851.SZ
2021-12-20,1.010842369,0,0,1,-0.009803921569,-0.01941747573,0,159851.SZ
2021-12-21,1.034195163,0,0,1,0.02310231023,0,0,159851.SZ
2021-12-22,1.026688907,0,0,1,-0.007258064516,-0.007258064516,0,159851.SZ
2021-12-23,1.025020851,0,0,1,-0.00162469537,-0.008870967742,0,159851.SZ
2021-12-24,1.001668057,0,0,1,-0.0227827502,-0.0314516129,0,159851.SZ
2021-12-27,0.9958298582,0,0,1,-0.00582847627,-0.03709677419,0,159851.SZ
2021-12-28,1.021684737,0,0,1,0.02596314908,-0.01209677419,0,159851.SZ
2021-12-29,1.005838198,0,0,1,-0.01551020408,-0.02741935484,0,159851.SZ
2021-12-30,1.017514595,0,0,1,0.01160862355,-0.01612903226,0,159851.SZ
2021-12-31,1.024186822,0,0,1,0.006557377049,-0.009677419355,0,159851.SZ
2022-01-04,1.042535446,0,0,1,0.01791530945,0,0,159851.SZ
2022-01-05,1.027522936,0,0,1,-0.0144,-0.0144,0,159851.SZ
2022-01-06,1.020850709,0,0,1,-0.006493506494,-0.0208,0,159851.SZ
2022-01-07,1.002502085,0,0,1,-0.01797385621,-0.0384,0,159851.SZ
2022-01-10,1.01501251,0,0,1,0.01247920133,-0.0264,0,159851.SZ
2022-01-11,0.988323603,0,0,1,-0.02629416598,-0.052,0,159851.SZ
