trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.834028357,1,entry,1,1,,,,
2022-01-28,2022-01-27,sell,159851.SZ,1.137,0.834028357,0.9482902419,momentum,21,21,-0.05170975813,57,-0.0542118432,0.09007506255
2022-01-28,2022-01-27,buy,512800.SH,1.179,0.8043174231,0.9482902419,entry,1,1,,,,
2022-03-02,2022-03-01,sell,512800.SH,1.174,0.8043174231,0.9442686548,momentum,23,23,-0.004240882103,33,-0.01611535199,0.0491942324
2022-03-02,2022-03-01,buy,515790.SH,1.577,0.5987753042,0.9442686548,entry,1,1,,,,
2022-03-23,2022-03-22,sell,515790.SH,1.5,0.5987753042,0.8981629563,momentum,26,24,-0.04882688649,21,-0.09194673431,0.0209258085
2022-03-23,2022-03-22,buy,515220.SH,2.23,0.4027636575,0.8981629563,entry,1,1,,,,
2022-05-11,2022-05-10,sell,515220.SH,2.041,0.4027636575,0.8220406251,momentum,32,29,-0.08475336323,49,-0.1165919283,0.1753363229
2022-05-11,2022-05-10,buy,512660.SH,1.046,0.7858896989,0.8220406251,entry,1,1,,,,
2022-05-24,2022-05-23,sell,512660.SH,1.057,0.7858896989,0.8306854117,momentum,20,21,0.01051625239,13,-0.02103250478,0.02485659656
2022-05-24,2022-05-23,buy,515790.SH,1.407,0.5903947489,0.8306854117,entry,1,1,,,,
2022-08-08,2022-08-05,sell,515790.SH,1.67,0.5903947489,0.9859592307,momentum,25,26,0.1869225302,76,-0.0447761194,0.2750533049
2022-08-08,2022-08-05,buy,512480.SH,1.072,0.9197380883,0.9859592307,entry,1,1,,,,
2022-08-18,2022-08-17,sell,512480.SH,1.023,0.9197380883,0.9408920644,momentum,23,23,-0.04570895522,10,-0.0578358209,0.006529850746
2022-08-18,2022-08-17,buy,159611.SZ,0.937,1.004153751,0.9408920644,entry,1,2,,,,
2022-09-29,2022-09-28,sell,159611.SZ,0.856,1.004153751,0.8595556106,momentum,24,22,-0.08644610459,42,-0.0939167556,0.06083244397
2022-09-29,2022-09-28,buy,512690.SH,0.839,1.024500132,0.8595556106,entry,1,1,,,,
2022-10-13,2022-10-12,sell,512690.SH,0.77,1.024500132,0.7888651015,momentum,24,23,-0.08224076281,14,-0.1025029797,0.002383790226
2022-10-13,2022-10-12,buy,515220.SH,2.622,0.3008638831,0.7888651015,entry,1,1,,,,
2022-10-17,2022-10-14,sell,515220.SH,2.516,0.3008638831,0.7569735299,momentum,29,30,-0.04042715484,4,-0.04347826087,0
2022-10-17,2022-10-14,buy,159851.SZ,0.917,0.8254891275,0.7569735299,entry,1,1,,,,
