trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.2780094523,0.3333333333,entry,1,1,,,,
2021-12-02,2021-12-01,buy,512660.SH,1.453,0.2294104152,0.3333333333,entry,2,2,,,,
2021-12-02,2021-12-01,buy,516150.SH,1.63,0.2044989775,0.3333333333,entry,3,3,,,,
2021-12-06,2021-12-03,sell,159851.SZ,1.18,0.2780094523,0.3280511537,momentum,14,15,-0.01584653878,4,-0.01834862385,0
2021-12-06,2021-12-03,sell,516150.SH,1.638,0.2044989775,0.3349693252,momentum,17,14,0.00490797546,4,-0.01411042945,0.03435582822
2021-12-06,2021-12-03,buy,512480.SH,1.407,0.2356149534,0.3315102394,entry,2,1,,,,
2021-12-06,2021-12-03,buy,516970.SH,1.202,0.2757988681,0.3315102394,entry,3,3,,,,
2021-12-08,2021-12-07,sell,512660.SH,1.421,0.2294104152,0.3259922,momentum,18,18,-0.02202339986,6,-0.0316586373,0.02477632485
2021-12-08,2021-12-07,buy,512690.SH,1.32,0.2469637879,0.3259922,entry,1,1,,,,
2021-12-10,2021-12-09,sell,512480.SH,1.368,0.2356149534,0.3223212563,momentum,24,22,-0.02771855011,4,-0.05401563611,0.00355366027
2021-12-10,2021-12-09,sell,516970.SH,1.184,0.2757988681,0.3265458598,momentum,20,18,-0.0149750416,4,-0.01830282862,0.01247920133
2021-12-10,2021-12-09,buy,159732.SZ,1.085,0.2990171042,0.324433558,entry,2,2,,,,
2021-12-10,2021-12-09,buy,159928.SZ,1.237,0.2622745012,0.324433558,entry,3,3,,,,
2021-12-17,2021-12-16,sell,159928.SZ,1.213,0.2622745012,0.31813897,momentum,20,18,-0.0194017785,7,-0.03233629749,0.02344381568
2021-12-17,2021-12-16,buy,512980.SH,0.825,0.385622994,0.31813897,entry,1,1,,,,
2021-12-20,2021-12-17,sell,512690.SH,1.335,0.2469637879,0.3296966569,momentum,14,12,0.01136363636,12,-0.006060606061,0.08484848485
2021-12-20,2021-12-17,buy,159869.SZ,1.073,0.3072662226,0.3296966569,entry,2,2,,,,
2021-12-21,2021-12-20,sell,159732.SZ,1.036,0.2990171042,0.3097817199,momentum,17,17,-0.04516129032,11,-0.04608294931,0.01290322581
2021-12-21,2021-12-20,buy,516970.SH,1.23,0.2518550569,0.3097817199,entry,1,1,,,,
2021-12-27,2021-12-24,sell,516970.SH,1.206,0.2518550569,0.3037371986,momentum,14,12,-0.01951219512,6,-0.01869918699,0.01382113821
2021-12-27,2021-12-24,buy,516520.SH,1.264,0.2402984166,0.3037371986,entry,1,1,,,,
2021-12-28,2021-12-27,sell,159869.SZ,1.05,0.3072662226,0.3226295337,momentum,13,13,-0.02143522833,8,-0.03261882572,0.02889095993
2021-12-28,2021-12-27,buy,159732.SZ,1.092,0.295448291,0.3226295337,entry,2,2,,,,
2021-12-30,2021-12-29,sell,512980.SH,0.803,0.385622994,0.3096552641,momentum,21,18,-0.02666666667,13,-0.03878787879,0.02424242424
2021-12-30,2021-12-29,buy,512660.SH,1.411,0.2194580185,0.3096552641,entry,1,2,,,,
2022-01-04,2021-12-31,sell,159732.SZ,1.081,0.295448291,0.3193796025,momentum,22,13,-0.01007326007,7,-0.03113553114,0.00641025641
2022-01-04,2021-12-31,buy,512980.SH,0.86,0.3713716309,0.3193796025,entry,2,1,,,,
2022-01-05,2022-01-04,sell,516520.SH,1.247,0.2402984166,0.2996521255,momentum,16,16,-0.01344936709,9,-0.02768987342,0.005537974684
2022-01-05,2022-01-04,buy,159869.SZ,1.143,0.2621628394,0.2996521255,entry,2,2,,,,
