trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.2780094523,0.3333333333,entry,1,1,,,,
2021-12-02,2021-12-01,buy,512660.SH,1.453,0.2294104152,0.3333333333,entry,2,2,,,,
2021-12-02,2021-12-01,buy,516150.SH,1.63,0.2044989775,0.3333333333,entry,3,3,,,,
2021-12-09,2021-12-08,sell,516150.SH,1.613,0.2044989775,0.3298568507,momentum,21,21,-0.01042944785,7,-0.03865030675,0.03435582822
2021-12-09,2021-12-08,buy,512690.SH,1.376,0.2397215485,0.3298568507,entry,1,1,,,,
2021-12-13,2021-12-10,sell,512660.SH,1.426,0.2294104152,0.3271392521,momentum,27,24,-0.01858224363,11,-0.0316586373,0.02477632485
2021-12-13,2021-12-10,buy,512980.SH,0.78,0.4194092976,0.3271392521,entry,2,4,,,,
2021-12-31,2021-12-30,sell,512690.SH,0.976,0.2397215485,0.2339682313,momentum,27,25,-0.2906976744,22,-0.04941860465,0.04069767442
2021-12-31,2021-12-30,buy,512660.SH,1.458,0.1604720379,0.2339682313,entry,1,2,,,,
2022-01-10,2022-01-07,sell,512660.SH,1.33,0.1604720379,0.2134278105,momentum,22,22,-0.0877914952,10,-0.08573388203,0.006172839506
2022-01-10,2022-01-07,buy,516970.SH,1.262,0.1691187088,0.2134278105,entry,1,1,,,,
2022-01-18,2022-01-17,sell,516970.SH,1.2,0.1691187088,0.2029424505,momentum,25,21,-0.04912836767,8,-0.06022187005,0.009508716323
2022-01-18,2022-01-17,buy,159819.SZ,1.039,0.1953247839,0.2029424505,entry,1,2,,,,
2022-01-25,2022-01-24,sell,512980.SH,0.802,0.4194092976,0.3363662567,momentum,22,21,0.02820512821,43,0,0.1576923077
2022-01-25,2022-01-24,buy,516970.SH,1.236,0.2721409844,0.3363662567,entry,1,3,,,,
2022-01-28,2022-01-27,sell,159851.SZ,1.137,0.2780094523,0.3160967473,momentum,21,21,-0.05170975813,57,-0.0542118432,0.09007506255
2022-01-28,2022-01-27,sell,159819.SZ,0.933,0.1953247839,0.1822380234,momentum,22,22,-0.1020211742,10,-0.103946102,0.02598652551
2022-01-28,2022-01-27,buy,512800.SH,1.179,0.2113379011,0.2491673854,entry,1,1,,,,
2022-01-28,2022-01-27,buy,512400.SH,1.232,0.2022462543,0.2491673854,entry,3,7,,,,
2022-02-07,2022-01-28,sell,512400.SH,1.23,0.2022462543,0.2487628928,momentum,25,24,-0.001623376623,10,-0.0413961039,0.006493506494
2022-02-07,2022-01-28,buy,159825.SZ,0.953,0.2610313671,0.2487628928,entry,3,4,,,,
2022-02-28,2022-02-25,sell,516970.SH,1.195,0.2721409844,0.3252084763,momentum,25,25,-0.03317152104,34,-0.04773462783,0.05906148867
2022-02-28,2022-02-25,buy,159995.SZ,1.475,0.2204803229,0.3252084763,entry,1,3,,,,
2022-03-02,2022-03-01,sell,512800.SH,1.174,0.2113379011,0.2481106959,momentum,23,23,-0.004240882103,33,-0.01611535199,0.0491942324
2022-03-02,2022-03-01,buy,515790.SH,1.577,0.1573308154,0.2481106959,entry,1,1,,,,
2022-03-21,2022-03-18,sell,159825.SZ,0.92,0.2610313671,0.2401488577,momentum,24,24,-0.03462749213,42,-0.1164742917,0.05981112277
2022-03-21,2022-03-18,buy,159992.SZ,1.102,0.2179209235,0.2401488577,entry,1,1,,,,
2022-03-23,2022-03-22,sell,515790.SH,1.5,0.1573308154,0.2359962231,momentum,26,24,-0.04882688649,21,-0.09194673431,0.0209258085
2022-03-23,2022-03-22,buy,515220.SH,2.23,0.1058279027,0.2359962231,entry,1,1,,,,
