trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-12-02,0.9995888356,1.110223025e-16,1.110679697e-16,3,-0.0004111643813,-0.0004111643813,0.5,159851.SZ;512660.SH;516150.SH
2021-12-03,1.001940828,1.110223025e-16,1.108072447e-16,3,0.002352959653,0,0,159851.SZ;512660.SH;516150.SH
2021-12-06,0.9977119842,1.110223025e-16,1.112769058e-16,3,-0.004220652092,-0.004220652092,0,159851.SZ;512660.SH;516150.SH
2021-12-07,0.9805061113,1.110223025e-16,1.132295874e-16,3,-0.01724533041,-0.02139319596,0,159851.SZ;512660.SH;516150.SH
2021-12-08,0.9956224099,1.110223025e-16,1.115104495e-16,3,0.01541683253,-0.006306178747,0,159851.SZ;512660.SH;516150.SH
2021-12-09,0.9985547122,0,0,3,0.002945195229,-0.003379556446,0.3313071777,159851.SZ;512660.SH;512690.SH
2021-12-10,0.9922156411,0,0,3,-0.006348246135,-0.009706348324,0,159851.SZ;512660.SH;512690.SH
2021-12-13,1.010529732,0,0,3,0.01845777317,0,0.3297058004,159851.SZ;512690.SH;512980.SH
2021-12-14,1.02224745,0,0,3,0.01159561873,0,0,159851.SZ;512690.SH;512980.SH
2021-12-15,1.017278121,0,0,3,-0.00486117963,-0.00486117963,0,159851.SZ;512690.SH;512980.SH
2021-12-16,1.019189449,0,0,3,0.001878864308,-0.002991448819,0,159851.SZ;512690.SH;512980.SH
2021-12-17,1.006264887,0,0,3,-0.01268121617,-0.01563472978,0,159851.SZ;512690.SH;512980.SH
2021-12-20,0.9917844105,0,0,3,-0.01439032296,-0.02980006393,0,159851.SZ;512690.SH;512980.SH
2021-12-21,1.006099536,0,0,3,0.01443370709,-0.01579648223,0,159851.SZ;512690.SH;512980.SH
2021-12-22,1.016359831,0,0,3,0.01019809163,-0.005759484582,0,159851.SZ;512690.SH;512980.SH
2021-12-23,1.018561644,0,0,3,0.002166371552,-0.003605590214,0,159851.SZ;512690.SH;512980.SH
2021-12-24,1.011975574,0,0,3,-0.006466050049,-0.01004832634,0,159851.SZ;512690.SH;512980.SH
2021-12-27,1.000202579,0,0,3,-0.01163367512,-0.02156510249,0,159851.SZ;512690.SH;512980.SH
2021-12-28,1.01313586,0,0,3,0.01293066142,-0.008913292116,0,159851.SZ;512690.SH;512980.SH
2021-12-29,0.9906550034,0,0,3,-0.02218937976,-0.03090489145,0,159851.SZ;512690.SH;512980.SH
2021-12-30,1.010304588,0,0,3,0.01983494171,-0.01168294647,0,159851.SZ;512690.SH;512980.SH
2021-12-31,0.9350565441,0,0,3,-0.0744805522,-0.08529334636,0.2315818756,159851.SZ;512660.SH;512980.SH
2022-01-04,0.9527666503,0,0,3,0.01894014469,-0.06796866999,0,159851.SZ;512660.SH;512980.SH
2022-01-05,0.9363069587,0,0,3,-0.01727567988,-0.08407014489,0,159851.SZ;512660.SH;512980.SH
2022-01-06,0.9260630096,0,0,3,-0.01094080205,-0.09409115212,0,159851.SZ;512660.SH;512980.SH
2022-01-07,0.9109276375,0,0,3,-0.01634378212,-0.108897129,0,159851.SZ;512660.SH;512980.SH
2022-01-10,0.915318778,0,0,3,0.004820515195,-0.104601554,0.2342972171,159851.SZ;512980.SH;516970.SH
2022-01-11,0.8910463505,0,0,3,-0.02651800461,-0.1283457341,0,159851.SZ;512980.SH;516970.SH
2022-01-12,0.8968805795,0,0,3,0.006547615705,-0.122638477,0,159851.SZ;512980.SH;516970.SH
2022-01-13,0.8856383194,0,0,3,-0.01253484616,-0.1336360687,0,159851.SZ;512980.SH;516970.SH
2022-01-14,0.8811189941,0,0,3,-0.005102901739,-0.1380570387,0,159851.SZ;512980.SH;516970.SH
2022-01-17,0.9148692755,0,0,3,0.03830388583,-0.1050412739,0,159851.SZ;512980.SH;516970.SH
2022-01-18,0.9062116197,0,0,3,-0.009463270902,-0.1135105108,0.2218267199,159819.SZ;159851.SZ;512980.SH
2022-01-19,0.9116196144,0,0,3,0.005967695171,-0.1082202118,0,159819.SZ;159851.SZ;512980.SH
2022-01-20,0.9019420494,0,0,3,-0.01061579288,-0.1176871613,0,159819.SZ;159851.SZ;512980.SH
2022-01-21,0.88335621,0,0,3,-0.02060646735,-0.135868512,0,159819.SZ;159851.SZ;512980.SH
2022-01-24,0.8883364106,0,0,3,0.005637816992,-0.1309966968,0,159819.SZ;159851.SZ;512980.SH
2022-01-25,0.8519060771,0,0,3,-0.04100961428,-0.1666341871,0.3786473825,159819.SZ;159851.SZ;516970.SH
2022-01-26,0.85859048,0,0,3,0.007846408305,-0.1600952586,0,159819.SZ;159851.SZ;516970.SH
2022-01-27,0.8296722441,0,0,3,-0.03368105812,-0.188384139,0,159819.SZ;159851.SZ;516970.SH
2022-01-28,0.8213661191,0.4983347707,0.6067145443,1,-0.01001133285,-0.1965094956,0.3003202615,516970.SH
2022-02-07,0.8447702438,0.4983347707,0.5899056866,1,0.02849414422,-0.1736147213,0,516970.SH
2022-02-08,0.8464030897,0.4983347707,0.5887676649,1,0.001932887573,-0.1720174114,0,516970.SH
2022-02-09,0.8468021378,0,0,3,0.0004714633925,-0.1716270479,0.2943838325,512800.SH;515220.SH;516970.SH
2022-02-10,0.8593712853,0,0,3,0.01484307484,-0.1593314462,0,512800.SH;515220.SH;516970.SH
2022-02-11,0.8589096646,0,0,3,-0.0005371609806,-0.1597830206,0,512800.SH;515220.SH;516970.SH
2022-02-14,0.8439373941,0,0,3,-0.01743171727,-0.1744294454,0,512800.SH;515220.SH;516970.SH
2022-02-15,0.8387008267,0,0,3,-0.006204923992,-0.1795520479,0,512800.SH;515220.SH;516970.SH
2022-02-16,0.8509307525,0,0,3,0.01458198839,-0.1675882854,0,512800.SH;515220.SH;516970.SH
2022-02-17,0.8495668346,0,0,3,-0.001602854094,-0.16892252,0,512800.SH;515220.SH;516970.SH
2022-02-18,0.8678515301,0,0,3,0.02152237433,-0.1510357593,0,512800.SH;515220.SH;516970.SH
2022-02-21,0.8710409689,0,0,3,0.003675097292,-0.1479157331,0,512800.SH;515220.SH;516970.SH
2022-02-22,0.8617709281,0,0,3,-0.01064248532,-0.1569840275,0,512800.SH;515220.SH;516970.SH
2022-02-23,0.8553159101,0,0,3,-0.00749041055,-0.1632985632,0,512800.SH;515220.SH;516970.SH
2022-02-24,0.8371380155,0,0,3,-0.02125284275,-0.1810808473,0,512800.SH;515220.SH;516970.SH
2022-02-25,0.8292442311,0,0,3,-0.009429489921,-0.1888028372,0.3936778953,512800.SH;515220.SH;515790.SH
2022-02-28,0.8436339621,0,0,3,0.0173528262,-0.1747262738,0,512800.SH;515220.SH;515790.SH
2022-03-01,0.8535580902,0,0,3,0.01176354747,-0.1650181271,0,512800.SH;515220.SH;515790.SH
2022-03-02,0.8577670669,0,0,3,0.004931095779,-0.1609007515,0.2825305455,159995.SZ;515220.SH;515790.SH
2022-03-03,0.8530802741,0,0,3,-0.005463945851,-0.1654855444,0,159995.SZ;515220.SH;515790.SH
2022-03-04,0.8527700317,0,0,3,-0.0003636732014,-0.1657890349,0,159995.SZ;515220.SH;515790.SH
2022-03-07,0.8372213697,0,0,3,-0.01823312435,-0.1809993072,0,159995.SZ;515220.SH;515790.SH
2022-03-08,0.8193305997,0,0,3,-0.02136922278,-0.1985007155,0,159995.SZ;515220.SH;515790.SH
2022-03-09,0.8332207732,0,0,3,0.01695307546,-0.1849128376,0,159995.SZ;515220.SH;515790.SH
2022-03-10,0.8448192194,0,0,3,0.01392001568,-0.1735668115,0,159995.SZ;515220.SH;515790.SH
2022-03-11,0.8401988728,0,0,3,-0.005469035867,-0.1780866043,0,159995.SZ;515220.SH;515790.SH
2022-03-14,0.8122079957,0,0,3,-0.03331458536,-0.2054683082,0,159995.SZ;515220.SH;515790.SH
2022-03-15,0.7734185797,0,0,3,-0.04775798347,-0.2434135396,0,159995.SZ;515220.SH;515790.SH
2022-03-16,0.8057469291,0,0,3,0.04179929249,-0.2117887609,0,159995.SZ;515220.SH;515790.SH
2022-03-17,0.8110447154,0,0,3,0.006575000214,-0.2066062718,0,159995.SZ;515220.SH;515790.SH
2022-03-18,0.8131930349,0,0,3,0.002648829931,-0.2045047068,0.3167451596,159992.SZ;159995.SZ;515790.SH
2022-03-21,0.8231081086,0,0,3,0.01219276759,-0.1948054175,0,159992.SZ;159995.SZ;515790.SH
2022-03-22,0.8042444166,0,0,3,-0.02291763594,-0.2132585738,0,159992.SZ;159995.SZ;515790.SH
2022-03-23,0.8124482798,0,0,3,0.01020070894,-0.2052332535,0.3988766928,159992.SZ;159995.SZ;515220.SH
2022-03-24,0.8207351761,0,0,3,0.01019990618,-0.1971267073,0.2754808291,159992.SZ;512200.SH;515220.SH
