trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-12-02,0.9995888356,1.110223025e-16,1.110679697e-16,3,-0.0004111643813,-0.0004111643813,0.5,159851.SZ;512660.SH;516150.SH
2021-12-03,1.001940828,1.110223025e-16,1.108072447e-16,3,0.002352959653,0,0,159851.SZ;512660.SH;516150.SH
2021-12-06,0.9977119842,1.110223025e-16,1.112769058e-16,3,-0.004220652092,-0.004220652092,0,159851.SZ;512660.SH;516150.SH
2021-12-07,0.9805061113,1.110223025e-16,1.132295874e-16,3,-0.01724533041,-0.02139319596,0,159851.SZ;512660.SH;516150.SH
2021-12-08,1.00262557,0,0,3,0.02255922599,0,0.3328692849,159851.SZ;512660.SH;512690.SH
2021-12-09,1.009067859,0,0,3,0.006425418602,0,0.3393358578,159851.SZ;512660.SH;512690.SH
2021-12-10,1.002713716,0,0,3,-0.006297043005,-0.006297043005,0,159851.SZ;512660.SH;512690.SH
2021-12-13,1.021095634,0,0,3,0.0183321697,0,0.3262538918,159851.SZ;512690.SH;512980.SH
2021-12-14,1.032888714,0,0,3,0.01154943785,0,0,159851.SZ;512690.SH;512980.SH
2021-12-15,1.027776196,0,0,3,-0.004949728104,-0.004949728104,0,159851.SZ;512690.SH;512980.SH
2021-12-16,1.029536797,0,0,3,0.001713020245,-0.003245186844,0,159851.SZ;512690.SH;512980.SH
2021-12-17,1.026520788,0,0,3,-0.002929481518,-0.006165161647,0.328304426,159851.SZ;159869.SZ;512980.SH
2021-12-20,0.9993043206,0,0,3,-0.02651331371,-0.03251501649,0,159851.SZ;159869.SZ;512980.SH
2021-12-21,1.01939286,0,0,3,0.02010252411,-0.01306612628,0,159851.SZ;159869.SZ;512980.SH
2021-12-22,1.039608134,0,0,3,0.01983070053,0,0,159851.SZ;159869.SZ;512980.SH
2021-12-23,1.030743772,0,0,3,-0.008526637972,-0.008526637972,0,159851.SZ;159869.SZ;512980.SH
2021-12-24,1.024004183,0,0,3,-0.006538568792,-0.01500945476,0,159851.SZ;159869.SZ;512980.SH
2021-12-27,1.007119067,0,0,3,-0.0164893033,-0.0312512626,0,159851.SZ;159869.SZ;512980.SH
2021-12-28,1.011133152,0,0,3,0.003985710347,-0.02739011074,0.6692142684,159732.SZ;512980.SH;516520.SH
2021-12-29,0.9973015811,0,0,3,-0.0136792778,-0.0406947116,0,159732.SZ;512980.SH;516520.SH
2021-12-30,1.005760947,0,0,3,0.008482254268,-0.03255764022,0.3376969137,159732.SZ;159941.SZ;516520.SH
2021-12-31,1.005740764,0,0,3,-2.006684952e-05,-0.03257705374,0,159732.SZ;159941.SZ;516520.SH
2022-01-04,1.007000292,0,0,3,0.001252338594,-0.03136551265,0,159732.SZ;159941.SZ;516520.SH
2022-01-05,0.9745504754,0,0,3,-0.03222423771,-0.06257902063,0,159732.SZ;159941.SZ;516520.SH
2022-01-06,0.9584029527,0,0,3,-0.01656920095,-0.07811133721,0.6562541822,159869.SZ;159941.SZ;512980.SH
2022-01-07,0.9509358503,0,0,3,-0.00779119309,-0.08529394979,0.3382523287,159869.SZ;512980.SH;516970.SH
2022-01-10,0.9508133341,0,0,3,-0.0001288375022,-0.08541179823,0,159869.SZ;512980.SH;516970.SH
2022-01-11,0.9362185884,0,0,3,-0.01534974859,-0.0994504972,0.3240251757,512200.SH;512980.SH;516970.SH
2022-01-12,0.9311298289,0,0,3,-0.005435439582,-0.1043453796,0.3219228649,512200.SH;512800.SH;516970.SH
2022-01-13,0.9218968465,0,0,3,-0.00991589151,-0.1132265937,0,512200.SH;512800.SH;516970.SH
2022-01-14,0.9076218699,0.3179226833,0.3502809858,2,-0.01548435343,-0.1269577065,0.1724285556,512200.SH;512800.SH
2022-01-17,0.9059089152,0.6121553203,0.6757360591,1,-0.001887299912,-0.1286053991,0.1620898784,512800.SH
2022-01-18,0.8999176348,0,0,3,-0.006613557225,-0.1343684172,0.6624129617,159819.SZ;159851.SZ;516520.SH
2022-01-19,0.8968252071,0,0,3,-0.003436345195,-0.1373430261,0,159819.SZ;159851.SZ;516520.SH
2022-01-20,0.8911143596,0,0,3,-0.006367849035,-0.1428362955,0,159819.SZ;159851.SZ;516520.SH
2022-01-21,0.8778055816,0,0,3,-0.01493498324,-0.1556380211,0,159819.SZ;159851.SZ;516520.SH
2022-01-24,0.8841201916,0,0,3,0.007193631598,-0.1495639921,0.3287718962,159819.SZ;159851.SZ;516510.SH
2022-01-25,0.8447546694,0,0,3,-0.04452507988,-0.1874297232,0,159819.SZ;159851.SZ;516510.SH
2022-01-26,0.843252606,0,0,2,-0.001778106079,-0.1888745594,0.6706311125,512800.SH;516510.SH
2022-01-27,0.839822629,0.27618203,0.3288575712,1,-0.004067555777,-0.1921738574,0.1637599623,512800.SH
2022-01-28,0.8335866053,0.27618203,0.3313177398,1,-0.007425405596,-0.1981722941,0,512800.SH
2022-02-07,0.8494165115,0.27618203,0.3251432321,1,0.01899011582,-0.1829454931,0,512800.SH
2022-02-08,0.8587468048,0,0,2,0.01098435592,-0.1739706756,0.1625716161,512800.SH;516970.SH
2022-02-09,0.8547881157,0,0,2,-0.004609844383,-0.1777785422,0,512800.SH;516970.SH
2022-02-10,0.8651776163,0,0,2,0.01215447484,-0.1677848722,0,512800.SH;516970.SH
2022-02-11,0.8645981031,0,0,2,-0.0006698199594,-0.1683423065,0,512800.SH;516970.SH
2022-02-14,0.8466759495,0,0,2,-0.02072888372,-0.1855816422,0,512800.SH;516970.SH
2022-02-15,0.8415204503,0,0,2,-0.00608910561,-0.1905407215,0,512800.SH;516970.SH
2022-02-16,0.8489308703,0,0,3,0.008805989302,-0.1834126318,0.6783388457,159928.SZ;512400.SH;516970.SH
2022-02-17,0.8564741041,0,0,3,0.008885568925,-0.1761567885,0,159928.SZ;512400.SH;516970.SH
2022-02-18,0.8618959603,0,0,3,0.006330437966,-0.1709415001,0,159928.SZ;512400.SH;516970.SH
2022-02-21,0.8589026065,0,0,3,-0.003472987425,-0.1738208099,0,159928.SZ;512400.SH;516970.SH
2022-02-22,0.8533791921,0,0,3,-0.006430780779,-0.1791337871,0,159928.SZ;512400.SH;516970.SH
2022-02-23,0.853130688,0,0,3,-0.0002912001028,-0.1793728234,0,159928.SZ;512400.SH;516970.SH
2022-02-24,0.8381132945,0,0,3,-0.01760268814,-0.1938180677,0.3266439104,512400.SH;515220.SH;516970.SH
2022-02-25,0.8354493749,0,0,3,-0.003178471931,-0.1963804944,0.312252538,512400.SH;515220.SH;515790.SH
2022-02-28,0.8551015932,0,0,3,0.02352293131,-0.1774770079,0,512400.SH;515220.SH;515790.SH
2022-03-01,0.8553220873,0,0,3,0.0002578572411,-0.1772649144,0,512400.SH;515220.SH;515790.SH
2022-03-02,0.8678426715,0,0,3,0.01463844364,-0.1652213532,0,512400.SH;515220.SH;515790.SH
2022-03-03,0.8689328767,0,0,3,0.001256224448,-0.1641726839,0,512400.SH;515220.SH;515790.SH
2022-03-04,0.861411895,0,0,3,-0.008655423074,-0.1714071229,0,512400.SH;515220.SH;515790.SH
2022-03-07,0.8562829704,0,0,3,-0.005954090782,-0.1763406401,0,512400.SH;515220.SH;515790.SH
2022-03-08,0.8207492949,0,0,3,-0.04149758513,-0.2105205145,0,512400.SH;515220.SH;515790.SH
2022-03-09,0.8309785504,0.2806574322,0.3377432932,2,0.0124633131,-0.2006809845,0.1709763468,515220.SH;515790.SH
2022-03-10,0.8447164887,0,0,1,0.01653224181,-0.1874664493,0.8341812011,515220.SH
2022-03-11,0.8431715111,0,0,1,-0.001828989483,-0.1889525646,0,515220.SH
2022-03-14,0.8111132265,0,0,1,-0.03802107192,-0.2197894575,0,515220.SH
2022-03-15,0.7435204576,0,0,1,-0.08333333333,-0.2848070027,0,515220.SH
2022-03-16,0.7516315899,0.7516315899,1,0,0.01090909091,-0.2770048972,0.5054545455,
2022-03-17,0.7394928368,0,0,1,-0.0161498708,-0.2886811747,0.5,515790.SH
2022-03-18,0.7326951351,0,0,1,-0.009192383454,-0.2952198901,0,515790.SH
2022-03-21,0.7380361864,0,0,1,0.007289595759,-0.290082328,0,515790.SH
2022-03-22,0.7210419321,0,0,1,-0.02302631579,-0.3064291165,0,515790.SH
2022-03-23,0.7353607636,5.551115123e-17,7.548832353e-17,3,0.01985852803,-0.2926558197,1.01010101,159941.SZ;512200.SH;515220.SH
2022-03-24,0.7305599697,5.551115123e-17,7.598438668e-17,3,-0.006528487959,-0.2972737077,0,159941.SZ;512200.SH;515220.SH
2022-03-25,0.7343513288,5.551115123e-17,7.559208931e-17,3,0.005189661761,-0.2936267959,0,159941.SZ;512200.SH;515220.SH
