trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.2780094523,0.3333333333,entry,1,1,,,,
2021-12-02,2021-12-01,buy,512660.SH,1.453,0.2294104152,0.3333333333,entry,2,2,,,,
2021-12-02,2021-12-01,buy,516150.SH,1.63,0.2044989775,0.3333333333,entry,3,3,,,,
2021-12-08,2021-12-07,sell,516150.SH,1.596,0.2044989775,0.3263803681,stop,16,16,-0.02085889571,6,-0.03865030675,0.03435582822
2021-12-08,2021-12-07,buy,512690.SH,1.32,0.2472578546,0.3263803681,entry,1,1,,,,
2021-12-09,2021-12-08,sell,512690.SH,1.376,0.2472578546,0.340226808,stop,1,1,0.04242424242,1,-0.006060606061,0.03863636364
2021-12-09,2021-12-08,buy,512690.SH,1.376,0.2472578546,0.340226808,entry,1,1,,,,
2021-12-13,2021-12-10,sell,512660.SH,1.426,0.2294104152,0.3271392521,weak,27,24,-0.01858224363,11,-0.0316586373,0.02477632485
2021-12-13,2021-12-10,buy,512980.SH,0.78,0.4194092976,0.3271392521,entry,2,4,,,,
2021-12-17,2021-12-16,sell,512690.SH,1.367,0.2472578546,0.3380014873,stop,13,8,-0.006540697674,8,-0.01744186047,0.04069767442
2021-12-17,2021-12-16,buy,159869.SZ,1.068,0.3164807933,0.3380014873,entry,2,2,,,,
2021-12-28,2021-12-27,sell,159851.SZ,1.229,0.2780094523,0.3416736169,stop,20,17,0.02502085071,26,-0.02752293578,0.0483736447
2021-12-28,2021-12-27,sell,159869.SZ,1.05,0.3164807933,0.332304833,stop,13,13,-0.01685393258,11,-0.02808988764,0.03370786517
2021-12-28,2021-12-27,buy,516520.SH,1.258,0.2678769674,0.3369892249,entry,1,1,,,,
2021-12-28,2021-12-27,buy,159732.SZ,1.092,0.3085981913,0.3369892249,entry,2,2,,,,
2021-12-30,2021-12-29,sell,512980.SH,0.803,0.4194092976,0.336785666,stop,21,18,0.02948717949,17,0,0.08333333333
2021-12-30,2021-12-29,buy,159941.SZ,3.26,0.1033084865,0.336785666,entry,2,1,,,,
2022-01-06,2022-01-05,sell,516520.SH,1.194,0.2678769674,0.319845099,stop,18,18,-0.05087440382,9,-0.05246422893,0.007949125596
2022-01-06,2022-01-05,sell,159732.SZ,1.036,0.3085981913,0.3197077262,stop,17,17,-0.05128205128,9,-0.05402930403,0.00641025641
2022-01-06,2022-01-05,buy,159869.SZ,1.149,0.2783084531,0.3197764126,entry,1,1,,,,
2022-01-06,2022-01-05,buy,512980.SH,0.887,0.3605145576,0.3197764126,entry,2,2,,,,
2022-01-07,2022-01-06,sell,159941.SZ,3.138,0.1033084865,0.3241820306,stop,21,20,-0.03742331288,8,-0.04570552147,0.004294478528
2022-01-07,2022-01-06,buy,516970.SH,1.243,0.2608061389,0.3241820306,entry,3,3,,,,
2022-01-11,2022-01-10,sell,159869.SZ,1.107,0.2783084531,0.3080874576,stop,7,5,-0.0365535248,5,-0.0591818973,0.0226283725
2022-01-11,2022-01-10,buy,512200.SH,0.845,0.3646005415,0.3080874576,entry,2,2,,,,
2022-01-12,2022-01-11,sell,512980.SH,0.836,0.3605145576,0.3013901702,stop,12,10,-0.05749718151,6,-0.06313416009,0.01803833145
2022-01-12,2022-01-11,buy,512800.SH,1.184,0.2545525086,0.3013901702,entry,3,3,,,,
2022-01-14,2022-01-13,sell,516970.SH,1.219,0.2608061389,0.3179226833,stop,8,6,-0.0193081255,7,-0.02011263073,0.03378921963
