trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-12-02,2021-12-01,buy,159851.SZ,1.199,0.2780094523,0.3333333333,entry,1,1,,,,
2021-12-02,2021-12-01,buy,512660.SH,1.453,0.2294104152,0.3333333333,entry,2,2,,,,
2021-12-02,2021-12-01,buy,516150.SH,1.63,0.2044989775,0.3333333333,entry,3,3,,,,
2021-12-09,2021-12-08,sell,516150.SH,1.613,0.2044989775,0.3298568507,momentum,21,21,-0.01042944785,7,-0.03865030675,0.03435582822
2021-12-09,2021-12-08,buy,512690.SH,1.376,0.2397215485,0.3298568507,entry,1,1,,,,
2021-12-13,2021-12-10,sell,512660.SH,1.426,0.2294104152,0.3271392521,weak,27,24,-0.01858224363,11,-0.0316586373,0.02477632485
2021-12-13,2021-12-10,buy,512980.SH,0.78,0.4194092976,0.3271392521,entry,2,4,,,,
2021-12-31,2021-12-30,sell,512690.SH,0.976,0.2397215485,0.2339682313,weak,27,25,-0.2906976744,22,-0.04941860465,0.04069767442
2021-12-31,2021-12-30,buy,512660.SH,1.458,0.1604720379,0.2339682313,entry,1,2,,,,
2022-01-10,2022-01-07,sell,512660.SH,1.33,0.1604720379,0.2134278105,weak,22,22,-0.0877914952,10,-0.08573388203,0.006172839506
2022-01-18,2022-01-17,buy,159819.SZ,1.039,0.2054165645,0.2134278105,entry,1,2,,,,
2022-01-25,2022-01-24,sell,512980.SH,0.802,0.4194092976,0.3363662567,weak,22,21,0.02820512821,43,0,0.1576923077
2022-01-28,2022-01-27,sell,159851.SZ,1.137,0.2780094523,0.3160967473,momentum,21,21,-0.05170975813,57,-0.0542118432,0.09007506255
2022-01-28,2022-01-27,sell,159819.SZ,0.933,0.2054165645,0.1916536546,momentum,22,22,-0.1020211742,10,-0.103946102,0.02598652551
2022-02-10,2022-02-09,buy,515220.SH,1.94,0.1450372266,0.2813722195,entry,1,1,,,,
2022-02-10,2022-02-09,buy,516970.SH,1.272,0.2212045751,0.2813722195,entry,2,2,,,,
2022-02-10,2022-02-09,buy,159851.SZ,1.257,0.2238442478,0.2813722195,entry,3,3,,,,
2022-02-24,2022-02-23,sell,159851.SZ,1.183,0.2238442478,0.2648077452,momentum,20,21,-0.05887032617,14,-0.0692124105,0
2022-02-24,2022-02-23,buy,512400.SH,1.389,0.1906463248,0.2648077452,entry,2,2,,,,
2022-02-25,2022-02-24,sell,516970.SH,1.211,0.2212045751,0.2678787404,weak,20,20,-0.04795597484,15,-0.06053459119,0.02908805031
2022-02-25,2022-02-24,buy,515790.SH,1.541,0.1738343546,0.2678787404,entry,2,2,,,,
2022-03-14,2022-03-11,sell,512400.SH,1.26,0.1906463248,0.2402143693,weak,24,23,-0.09287257019,18,-0.1223902088,0.03311735061
2022-03-18,2022-03-17,sell,515220.SH,2.028,0.1450372266,0.2941354955,weak,24,22,0.04536082474,36,-0.02783505155,0.2113402062
2022-03-22,2022-03-21,buy,159992.SZ,1.11,0.2406981373,0.2671749324,entry,1,1,,,,
2022-03-22,2022-03-21,buy,159941.SZ,2.806,0.09521558531,0.2671749324,entry,2,2,,,,
2022-03-23,2022-03-22,sell,515790.SH,1.5,0.1738343546,0.2607515319,weak,26,24,-0.02660609994,26,-0.07073329007,0.0564568462
2022-03-23,2022-03-22,buy,515220.SH,2.23,0.1169289381,0.2607515319,entry,1,1,,,,
2022-04-15,2022-04-14,sell,159992.SZ,1.001,0.2406981373,0.2409388354,weak,24,21,-0.0981981982,24,-0.1045045045,0.04144144144
2022-04-18,2022-04-15,buy,159928.SZ,1.025,0.2350622785,0.2409388354,entry,2,4,,,,
