trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-12-02,0.9995888356,1.110223025e-16,1.110679697e-16,3,-0.0004111643813,-0.0004111643813,0.5,159851.SZ;512660.SH;516150.SH
2021-12-03,1.001940828,1.110223025e-16,1.108072447e-16,3,0.002352959653,0,0,159851.SZ;512660.SH;516150.SH
2021-12-06,0.9977119842,1.110223025e-16,1.112769058e-16,3,-0.004220652092,-0.004220652092,0,159851.SZ;512660.SH;516150.SH
2021-12-07,0.9805061113,1.110223025e-16,1.132295874e-16,3,-0.01724533041,-0.02139319596,0,159851.SZ;512660.SH;516150.SH
2021-12-08,0.9956224099,1.110223025e-16,1.115104495e-16,3,0.01541683253,-0.006306178747,0,159851.SZ;512660.SH;516150.SH
2021-12-09,0.9944090008,1.110223025e-16,1.116465181e-16,3,-0.001218744258,-0.007517237385,0,159851.SZ;512660.SH;516150.SH
2021-12-10,0.9896343248,0,0,3,-0.004801521321,-0.01228266453,0.3313001517,159851.SZ;512660.SH;512690.SH
2021-12-13,1.007931738,0,0,3,0.01848906532,0,0.3305657897,159851.SZ;512690.SH;512980.SH
2021-12-14,1.019630925,0,0,3,0.01160712221,0,0,159851.SZ;512690.SH;512980.SH
2021-12-15,1.014696805,0,0,3,-0.004839123811,-0.004839123811,0,159851.SZ;512690.SH;512980.SH
2021-12-16,1.016645194,0,0,3,0.001920168467,-0.002928247277,0,159851.SZ;512690.SH;512980.SH
2021-12-17,1.003781783,0,0,3,-0.0126528023,-0.01554399904,0,159851.SZ;512690.SH;512980.SH
2021-12-20,0.9893031595,0,0,3,-0.01442407493,-0.02974386616,0,159851.SZ;512690.SH;512980.SH
2021-12-21,1.003616432,0,0,3,0.01446803488,-0.01570616658,0,159851.SZ;512690.SH;512980.SH
2021-12-22,1.013865609,0,0,3,0.01021224499,-0.005654316815,0,159851.SZ;512690.SH;512980.SH
2021-12-23,1.016013683,0,0,3,0.002118697179,-0.003547599421,0,159851.SZ;512690.SH;512980.SH
2021-12-24,1.009431319,0,0,3,-0.006478617911,-0.01000323379,0,159851.SZ;512690.SH;512980.SH
2021-12-27,0.9976824135,0,0,3,-0.01163913287,-0.02152593769,0,159851.SZ;512690.SH;512980.SH
2021-12-28,1.010582339,0,0,3,0.01292989191,-0.008874373833,0,159851.SZ;512690.SH;512980.SH
2021-12-29,0.988192283,0,0,3,-0.02215559821,-0.03083335498,0,159851.SZ;512690.SH;512980.SH
2021-12-30,1.007852986,0,0,3,0.01989562452,-0.01155117931,0,159851.SZ;512690.SH;512980.SH
2021-12-31,0.9332491953,0,0,3,-0.07402249278,-0.084718625,0.2303507013,159851.SZ;512660.SH;512980.SH
2022-01-04,0.950976668,0,0,3,0.01899543311,-0.06733245886,0,159851.SZ;512660.SH;512980.SH
2022-01-05,0.9346087703,0,0,3,-0.01721167116,-0.08338522588,0,159851.SZ;512660.SH;512980.SH
2022-01-06,0.9243846685,0,0,3,-0.01093944555,-0.09341248329,0,159851.SZ;512660.SH;512980.SH
2022-01-07,0.9092703843,0,0,3,-0.01635064359,-0.1082357727,0,159851.SZ;512660.SH;512980.SH
2022-01-10,0.9136598165,0,0,3,0.00482742236,-0.1039308501,0.2329098183,159851.SZ;512980.SH;516970.SH
2022-01-11,0.8894122276,0,0,3,-0.0265389683,-0.1277116008,0,159851.SZ;512980.SH;516970.SH
2022-01-12,0.8952595296,0,0,3,0.006574344134,-0.1219768767,0,159851.SZ;512980.SH;516970.SH
2022-01-13,0.8840447228,0,0,3,-0.01252687791,-0.1329757652,0,159851.SZ;512980.SH;516970.SH
2022-01-14,0.8795593872,0,0,3,-0.005073652326,-0.1373747447,0,159851.SZ;512980.SH;516970.SH
2022-01-17,0.9133018248,0,0,3,0.03836288721,-0.1042819493,0,159851.SZ;512980.SH;516970.SH
2022-01-18,0.904639842,0,0,3,-0.009484250007,-0.1127771633,0.2204897517,159819.SZ;159851.SZ;512980.SH
2022-01-19,0.9100523663,0,0,3,0.005983070914,-0.1074688461,0,159819.SZ;159851.SZ;512980.SH
2022-01-20,0.9003868803,0,0,3,-0.01062080204,-0.1169482428,0,159819.SZ;159851.SZ;512980.SH
2022-01-21,0.8818282186,0,0,3,-0.02061187484,-0.1351495951,0,159819.SZ;159851.SZ;512980.SH
2022-01-24,0.8868053995,0,0,3,0.005644161527,-0.1302682397,0,159819.SZ;159851.SZ;512980.SH
2022-01-25,0.8504324411,0,0,3,-0.04101571596,-0.1659409106,0.3793010923,159819.SZ;159851.SZ;516970.SH
2022-01-26,0.8571243934,0,0,3,0.007868881712,-0.1593777983,0,159819.SZ;159851.SZ;516970.SH
2022-01-27,0.8282665524,0,0,3,-0.03366820635,-0.18768004,0,159819.SZ;159851.SZ;516970.SH
2022-01-28,0.8210185938,0,0,3,-0.008750756103,-0.1947884539,0,159819.SZ;159851.SZ;516970.SH
2022-02-07,0.8426783843,0,0,3,0.0263816077,-0.1735456787,0,159819.SZ;159851.SZ;516970.SH
2022-02-08,0.8533267596,0,0,3,0.01263634559,-0.1631023163,0.2113687814,159851.SZ;512800.SH;516970.SH
2022-02-09,0.8774818978,0,0,3,0.02830702071,-0.1394122363,0,159851.SZ;512800.SH;516970.SH
2022-02-10,0.8753004533,0,0,3,-0.002486027995,-0.1415516815,0,159851.SZ;512800.SH;516970.SH
2022-02-11,0.8715632429,0,0,3,-0.004269631528,-0.1452169395,0,159851.SZ;512800.SH;516970.SH
2022-02-14,0.8518239323,0,0,3,-0.0226481678,-0.1645762097,0,159851.SZ;512800.SH;516970.SH
2022-02-15,0.8526353991,0,0,3,0.0009526226891,-0.1637803661,0,159851.SZ;512800.SH;516970.SH
2022-02-16,0.8596898102,0,0,3,0.008273654996,-0.1568617733,0,159851.SZ;512800.SH;516970.SH
2022-02-17,0.8540856828,0,0,3,-0.00651877845,-0.1623580046,0,159851.SZ;512800.SH;516970.SH
2022-02-18,0.8650701738,0,0,3,0.01286111128,-0.1515849977,0,159851.SZ;512800.SH;516970.SH
2022-02-21,0.8686964286,0,0,3,0.004191862016,-0.1480285591,0,159851.SZ;512800.SH;516970.SH
2022-02-22,0.8507408418,0,0,3,-0.02066957593,-0.1656384475,0,159851.SZ;512800.SH;516970.SH
2022-02-23,0.850390464,0,0,3,-0.0004118502569,-0.1659820795,0,159851.SZ;512800.SH;516970.SH
2022-02-24,0.8200102595,0,0,3,-0.03572500613,-0.1957773748,0,159851.SZ;512800.SH;516970.SH
2022-02-25,0.8142240558,0,0,3,-0.007056257596,-0.2014521768,0.7873797576,512800.SH;515220.SH;515790.SH
2022-02-28,0.8295713732,0,0,3,0.01884900999,-0.1864003409,0,512800.SH;515220.SH;515790.SH
2022-03-01,0.8401550177,0,0,3,0.01275796735,-0.176020463,0,512800.SH;515220.SH;515790.SH
2022-03-02,0.846955484,0,0,3,0.008094299458,-0.1693509259,0.2084524684,159995.SZ;515220.SH;515790.SH
2022-03-03,0.8452367432,0,0,3,-0.002029316586,-0.1710365759,0,159995.SZ;515220.SH;515790.SH
2022-03-04,0.8445575458,0,0,3,-0.0008035587682,-0.1717026967,0,159995.SZ;515220.SH;515790.SH
2022-03-07,0.8320076124,0,0,3,-0.014859773,-0.1840110066,0,159995.SZ;515220.SH;515790.SH
2022-03-08,0.8103700088,0,0,3,-0.0260064971,-0.205232022,0,159995.SZ;515220.SH;515790.SH
2022-03-09,0.8256245123,0,0,3,0.01882412149,-0.190271213,0,159995.SZ;515220.SH;515790.SH
2022-03-10,0.8359172868,0,0,3,0.01246665316,-0.1801766051,0,159995.SZ;515220.SH;515790.SH
2022-03-11,0.83122778,0,0,3,-0.005610012859,-0.1847758248,0,159995.SZ;515220.SH;515790.SH
2022-03-14,0.8032646837,0,0,3,-0.03364071435,-0.2122005485,0,159995.SZ;515220.SH;515790.SH
2022-03-15,0.7619152632,0,0,3,-0.05147670669,-0.2527538698,0,159995.SZ;515220.SH;515790.SH
2022-03-16,0.7919287355,0,0,3,0.0393921395,-0.223318246,0,159995.SZ;515220.SH;515790.SH
2022-03-17,0.7978811383,0,0,3,0.007516336411,-0.2174804446,0,159995.SZ;515220.SH;515790.SH
2022-03-18,0.802033553,0,0,3,0.00520430235,-0.2134079762,0.3929821222,159992.SZ;159995.SZ;515790.SH
2022-03-21,0.8124362414,0,0,3,0.0129703905,-0.2032055705,0,159992.SZ;159995.SZ;515790.SH
2022-03-22,0.7936422076,0,0,3,-0.02313293383,-0.2216377633,0,159992.SZ;159995.SZ;515790.SH
2022-03-23,0.8027090955,0,0,3,0.01142440235,-0.21274544,0.3959473127,159992.SZ;159995.SZ;515220.SH
