trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-11-24,2021-11-23,buy,XLY.US,103.5749969,0.009654839773,1,entry,1,1,,,,
2021-11-26,2021-11-24,sell,XLY.US,103.1600037,0.009654839773,0.9959933063,entry_rank,3,3,-0.004006693684,2,-0.005310117679,0.01583393133
2021-11-26,2021-11-24,buy,SMH.US,151.3150024,0.006582250869,0.9959933063,entry,1,1,,,,
2021-11-29,2021-11-26,sell,SMH.US,152.2550049,0.006582250869,1.002180638,entry_rank,12,12,0.006212222359,3,-0.01566265789,0.0092521817
2021-11-29,2021-11-26,buy,XHB.US,82.95999908,0.01208028748,1.002180638,entry,1,1,,,,
2021-11-30,2021-11-29,sell,XHB.US,81.81999969,0.01208028748,0.9884091178,entry_rank,12,12,-0.01374155499,1,-0.01494693681,0.003375105863
2021-11-30,2021-11-29,buy,DTCR.US,17.89999962,0.05521838765,0.9884091178,entry,1,2,,,,
2021-12-01,2021-11-30,sell,DTCR.US,18,0.05521838765,0.9939309777,entry_rank,4,4,0.005586613609,1,-0.005586613609,0.01776540783
2021-12-01,2021-11-30,buy,XLK.US,85.25,0.0116590144,0.9939309777,entry,1,2,,,,
2021-12-02,2021-12-01,sell,XLK.US,82.43499756,0.0116590144,0.9611108237,entry_rank,4,3,-0.0330205565,1,-0.02486806741,0.007565943027
2021-12-02,2021-12-01,buy,XSD.US,236.2100067,0.004068882758,0.9611108237,entry,1,2,,,,
2021-12-03,2021-12-02,sell,XSD.US,241.4700012,0.004068882758,0.9825131246,entry_rank,4,4,0.02226829667,1,-0.01265825074,0.01469025809
2021-12-03,2021-12-02,buy,SMH.US,153.375,0.006405953543,0.9825131246,entry,1,1,,,,
2021-12-07,2021-12-06,sell,SMH.US,153.5,0.006405953543,0.9833138688,entry_rank,27,24,0.000814995925,4,-0.05294210345,0.008769364112
2021-12-07,2021-12-06,buy,XHB.US,85.26000214,0.01153312039,0.9833138688,entry,1,1,,,,
2021-12-14,2021-12-13,sell,XHB.US,83.91999817,0.01153312039,0.9678594418,entry_rank,16,8,-0.01571667762,7,-0.007741070204,0.01583390148
2021-12-14,2021-12-13,buy,XLK.US,85.09999847,0.01137320163,0.9678594418,entry,1,1,,,,
2021-12-15,2021-12-14,sell,XLK.US,84.79499817,0.01137320163,0.9643906118,entry_rank,9,11,-0.003584022452,1,-0.01639244028,0.006404208916
2021-12-15,2021-12-14,buy,XLP.US,75.22000122,0.01282093321,0.9643906118,entry,1,1,,,,
2021-12-20,2021-12-17,sell,XLP.US,74.12000275,0.01282093321,0.9502876048,entry_rank,4,3,-0.01462374975,5,-0.0007976277269,0.02073913232
2021-12-20,2021-12-17,buy,XLRE.US,49.04999924,0.01937385565,0.9502876048,entry,1,1,,,,
2021-12-21,2021-12-20,sell,XLRE.US,49.63999939,0.01937385565,0.9617181826,entry_rank,6,5,0.0120285456,1,-0.005708435956,0.009174327624
2021-12-21,2021-12-20,buy,DTCR.US,18.20000076,0.05284165617,0.9617181826,entry,1,2,,,,
2021-12-23,2021-12-22,sell,DTCR.US,18.19000053,0.05284165617,0.9611897539,entry_rank,6,4,-0.0005494631023,2,-0.01208797865,0.01043948455
2021-12-23,2021-12-22,buy,XME.US,44.18999863,0.02175129631,0.9611897539,entry,1,1,,,,
2021-12-27,2021-12-23,sell,XME.US,44.20000076,0.02175129631,0.9614073134,entry_rank,5,2,0.000226343891,4,-0.004299584354,0.01086217599
2021-12-27,2021-12-23,buy,SMH.US,154.6549988,0.006216464524,0.9614073134,entry,1,1,,,,
2021-12-31,2021-12-30,sell,SMH.US,155.0099945,0.006216464524,0.9636141317,entry_rank,23,26,0.00229540416,4,-0.0007436260973,0.02783620296
2021-12-31,2021-12-30,buy,XLRE.US,51.72000122,0.01863136328,0.9636141317,entry,1,1,,,,
2022-01-04,2022-01-03,sell,XLRE.US,51.47000122,0.01863136328,0.9589562909,entry_rank,6,7,-0.004833719917,4,-0.02262184756,0.008700636845
2022-01-04,2022-01-03,buy,XLY.US,105.3300018,0.009104303373,0.9589562909,entry,1,1,,,,
2022-01-05,2022-01-04,sell,XLY.US,104.375,0.009104303373,0.9502616645,entry_rank,10,8,-0.009066759845,1,-0.01314917034,0.005459004446
2022-01-05,2022-01-04,buy,XLE.US,29.88999939,0.03179195998,0.9502616645,entry,1,1,,,,
2022-01-19,2022-01-18,sell,XLE.US,32.63499832,0.03179195998,1.037530561,entry_rank,3,1,0.09183670083,14,-0.01137504716,0.09618601735
2022-01-19,2022-01-18,buy,COPX.US,40.86000061,0.02539232857,1.037530561,entry,1,2,,,,
2022-01-21,2022-01-20,sell,COPX.US,40.34000015,0.02539232857,1.024326538,entry_rank,3,2,-0.01272639378,2,-0.01052374691,0.01297109083
2022-01-21,2022-01-20,buy,XLE.US,31.49500084,0.03252346439,1.024326538,entry,1,1,,,,
2022-02-02,2022-02-01,sell,XLE.US,33.95999908,0.03252346439,1.104496821,entry_rank,3,1,0.07826633369,12,-0.05000796066,0.08636289065
2022-02-02,2022-02-01,buy,XLK.US,81.37000275,0.01357375917,1.104496821,entry,1,3,,,,
2022-02-04,2022-02-03,sell,XLK.US,79.05500031,0.01357375917,1.073073535,entry_rank,4,6,-0.02845031785,2,-0.02685271125,0.007619455527
2022-02-04,2022-02-03,buy,XOP.US,111.2399979,0.009646472095,1.073073535,entry,1,1,,,,
2022-02-09,2022-02-08,sell,XOP.US,107.8600006,0.009646472095,1.040468486,entry_rank,32,32,-0.03038472958,5,-0.04189137111,0.03559869796
2022-02-09,2022-02-08,buy,XME.US,46.52999878,0.02236124035,1.040468486,entry,1,1,,,,
2022-02-17,2022-02-16,sell,XME.US,49.72999954,0.02236124035,1.112024472,entry_rank,3,2,0.06877285293,8,-0.004298236697,0.09133892352
2022-02-17,2022-02-16,buy,XES.US,63.06000137,0.01763438706,1.112024472,entry,1,1,,,,
2022-02-22,2022-02-18,sell,XES.US,62.75,0.01763438706,1.106557788,entry_rank,15,13,-0.004915974731,5,-0.0421820455,0.01030760699
2022-02-22,2022-02-18,buy,GDX.US,34.72000122,0.03187090291,1.106557788,entry,1,1,,,,
2022-02-28,2022-02-25,sell,GDX.US,35.08000183,0.03187090291,1.118031333,entry_rank,21,16,0.01036868081,6,-0.03715440294,0.03888244316
2022-02-28,2022-02-25,buy,XHE.US,108.0599976,0.01034639421,1.118031333,entry,1,4,,,,
2022-03-01,2022-02-28,sell,XHE.US,108.6800003,0.01034639421,1.124446125,entry_rank,4,8,0.005737578758,1,0,0.01536187025
2022-03-01,2022-02-28,buy,XAR.US,123.0999985,0.00913441218,1.124446125,entry,1,1,,,,
2022-03-02,2022-03-01,sell,XAR.US,122.3499985,0.00913441218,1.117595316,entry_rank,8,5,-0.006092607712,1,-0.02055238676,0.0006498930304
2022-03-02,2022-03-01,buy,XME.US,54.54000092,0.02049129625,1.117595316,entry,1,1,,,,
2022-03-08,2022-03-07,sell,XME.US,57.04999924,0.02049129625,1.169028435,entry_rank,3,2,0.04602123725,6,-0.005500535974,0.1068939846
2022-03-08,2022-03-07,buy,GDX.US,38.83000183,0.03010631935,1.169028435,entry,1,3,,,,
2022-03-09,2022-03-08,sell,GDX.US,36.84000015,0.03010631935,1.109116809,entry_rank,3,5,-0.05124907506,1,-0.02420814826,0.03682710335
2022-03-09,2022-03-08,buy,XES.US,73.91000366,0.01500631517,1.109116809,entry,1,1,,,,
2022-03-15,2022-03-14,sell,XES.US,68.40000153,0.01500631517,1.026431981,entry_rank,15,11,-0.07455015374,6,-0.04410772527,0.04072512999
2022-03-15,2022-03-14,buy,KRE.US,70.91999817,0.01447309655,1.026431981,entry,1,4,,,,
2022-03-18,2022-03-17,sell,KRE.US,71.83999634,0.01447309655,1.039747203,entry_rank,25,30,0.01297233774,3,-0.01931747254,0.03073886578
2022-03-18,2022-03-17,buy,XTN.US,88.25,0.01178183799,1.039747203,entry,1,1,,,,
2022-03-22,2022-03-21,sell,XTN.US,88.52999878,0.01178183799,1.043046103,entry_rank,9,8,0.0031727907,4,-0.00600565189,0.01903683065
2022-03-22,2022-03-21,buy,URA.US,26.84000015,0.03886162807,1.043046103,entry,1,1,,,,
2022-03-24,2022-03-23,sell,URA.US,26.73999977,0.03886162807,1.039159926,entry_rank,7,5,-0.003725796606,2,-0.02496274488,0.01304025259
2022-03-24,2022-03-23,buy,XME.US,62.02999878,0.01675253823,1.039159926,entry,1,1,,,,
2022-03-29,2022-03-28,sell,XME.US,60.00999832,0.01675253823,1.005319791,entry_rank,10,6,-0.03256489598,5,-0.0172497133,0.02692248938
2022-03-29,2022-03-28,buy,CIBR.US,53.68999863,0.01872452629,1.005319791,entry,1,2,,,,
2022-03-30,2022-03-29,sell,CIBR.US,53.34000015,0.01872452629,0.9987662352,entry_rank,13,10,-0.006518876571,1,-0.01806663123,0.003706487565
2022-03-30,2022-03-29,buy,XOP.US,137.1300049,0.00728335302,0.9987662352,entry,1,1,,,,
2022-04-04,2022-04-01,sell,XOP.US,140.4400024,0.00728335302,1.022874116,entry_rank,10,7,0.02413766091,5,-0.01939767788,0.01910592156
2022-04-04,2022-04-01,buy,XHE.US,114.4700012,0.008935739538,1.022874116,entry,1,3,,,,
2022-04-05,2022-04-04,sell,XHE.US,113.0500031,0.008935739538,1.010185382,entry_rank,6,5,-0.01240498081,1,-0.01642355956,0.004542645562
2022-04-05,2022-04-04,buy,XES.US,77.58000183,0.01302120854,1.010185382,entry,1,1,,,,
2022-04-06,2022-04-05,sell,XES.US,75.30999756,0.01302120854,0.9806271831,entry_rank,10,7,-0.02926017297,1,-0.04279452973,0.01804590736
2022-04-06,2022-04-05,buy,XLU.US,37.81499863,0.02593222845,0.9806271831,entry,1,1,,,,
2022-04-08,2022-04-07,sell,XLU.US,38.49000168,0.02593222845,0.9981315164,entry_rank,6,1,0.01785014085,2,-0.004495522283,0.01732123807
2022-04-08,2022-04-07,buy,URA.US,27.75,0.03596870329,0.9981315164,entry,1,2,,,,
2022-04-18,2022-04-14,sell,URA.US,28.18000031,0.03596870329,1.01359807,entry_rank,8,6,0.01549550649,10,-0.03567566743,0.02666665842
2022-04-18,2022-04-14,buy,XES.US,81.23999786,0.01247658908,1.01359807,entry,1,1,,,,
2022-04-21,2022-04-20,sell,XES.US,81.86000061,0.01247658908,1.021333589,entry_rank,5,3,0.007631742527,3,-0.03372720256,0.02769571712
2022-04-21,2022-04-20,buy,XME.US,65.06999969,0.01569592122,1.021333589,entry,1,1,,,,
2022-04-22,2022-04-21,sell,XME.US,61.47999954,0.01569592122,0.9649852297,entry_rank,20,16,-0.05517135653,1,-0.06147226093,0.004610466469
2022-04-22,2022-04-21,buy,XLP.US,80.69000244,0.01195916719,0.9649852297,entry,1,1,,,,
2022-05-02,2022-04-29,sell,XLP.US,78.18000031,0.01195916719,0.9349676945,entry_rank,4,1,-0.03110673021,10,-0.03903831244,0.001239291995
2022-05-02,2022-04-29,buy,XLB.US,42.56999969,0.02196306557,0.9349676945,entry,1,2,,,,
2022-05-03,2022-05-02,sell,XLB.US,42.41500092,0.02196306557,0.9315634462,entry_rank,4,3,-0.003641033132,1,-0.02360820003,0.004228337009
2022-05-03,2022-05-02,buy,XLE.US,38.24499893,0.0243577846,0.9315634462,entry,1,1,,,,
2022-05-10,2022-05-09,sell,XLE.US,38.61500168,0.0243577846,0.9405758934,entry_rank,3,1,0.009674539336,7,-0.009674439593,0.08419404656
2022-05-10,2022-05-09,buy,XLU.US,35.88499832,0.02621083844,0.9405758934,entry,1,2,,,,
2022-05-16,2022-05-13,sell,XLU.US,35.72999954,0.02621083844,0.9365132454,entry_rank,3,2,-0.004319319675,6,-0.02689146434,0.0136547778
2022-05-16,2022-05-13,buy,XLP.US,76.90000153,0.01217832545,0.9365132454,entry,1,1,,,,
2022-05-17,2022-05-16,sell,XLP.US,77.02999878,0.01217832545,0.9380963943,entry_rank,6,6,0.001690471402,1,-0.004291311112,0.009752925684
2022-05-17,2022-05-16,buy,XLE.US,42.01499939,0.0223276546,0.9380963943,entry,1,1,,,,
2022-05-20,2022-05-19,sell,XLE.US,41.20999908,0.0223276546,0.9201226255,entry_rank,3,3,-0.01915983141,3,-0.04962511281,0.006426287318
2022-05-20,2022-05-19,buy,TAN.US,67.87999725,0.01355513646,0.9201226255,entry,1,1,,,,
2022-05-25,2022-05-24,sell,TAN.US,65.81999969,0.01355513646,0.8921990775,entry_rank,9,6,-0.03034763762,5,-0.04065990894,0.002504505086
2022-05-25,2022-05-24,buy,XLU.US,37.06499863,0.02407120223,0.8921990775,entry,1,4,,,,
2022-05-26,2022-05-25,sell,XLU.US,37.22999954,0.02407120223,0.8961708479,entry_rank,7,8,0.004451663878,1,-0.008228795804,0.001483887959
2022-05-26,2022-05-25,buy,XOP.US,148.75,0.006024677969,0.8961708479,entry,1,1,,,,
2022-06-03,2022-06-02,sell,XOP.US,159.6600037,0.006024677969,0.9619001066,entry_rank,3,1,0.07334456243,8,-0.0002688624278,0.08658826812
2022-06-03,2022-06-02,buy,XSD.US,183.9100037,0.005230276154,0.9619001066,entry,1,3,,,,
2022-06-06,2022-06-03,sell,XSD.US,185.3200073,0.005230276154,0.9692748151,entry_rank,7,7,0.0076668133,3,-0.01489862127,0.003099298864
2022-06-06,2022-06-03,buy,XOP.US,163.1600037,0.005940639822,0.9692748151,entry,1,1,,,,
2022-06-09,2022-06-08,sell,XOP.US,166,0.005940639822,0.9861462105,entry_rank,4,1,0.01740620418,3,-0.01519987087,0.04572193729
2022-06-09,2022-06-08,buy,TAN.US,76.11000061,0.01295685459,0.9861462105,entry,1,2,,,,
2022-06-10,2022-06-09,sell,TAN.US,73.45999908,0.01295685459,0.9518105261,entry_rank,3,3,-0.03481804631,1,-0.01957689991,0.01024830867
2022-06-10,2022-06-09,buy,XLE.US,44.59999847,0.02134104392,0.9518105261,entry,1,2,,,,
2022-06-16,2022-06-15,sell,XLE.US,40.09500122,0.02134104392,0.8556691818,entry_rank,21,16,-0.1010089105,6,-0.09204035163,0.01502246651
2022-06-16,2022-06-15,buy,XLP.US,68.66000366,0.01246241096,0.8556691818,entry,1,1,,,,
2022-06-17,2022-06-16,sell,XLP.US,69.19999695,0.01246241096,0.8623988001,entry_rank,3,1,0.007864743043,1,-0.00640842438,0.0138362496
2022-06-17,2022-06-16,buy,GDX.US,30.70000076,0.02809116543,0.8623988001,entry,1,3,,,,
