trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-11-24,2021-11-23,buy,XLY.US,103.5749969,0.009654839773,1,entry,1,1,,,,
2021-12-06,2021-12-03,sell,XLY.US,100.2249985,0.009654839773,0.9676563015,momentum,16,17,-0.03234369851,12,-0.04610180099,0.01583393133
2021-12-06,2021-12-03,buy,SMH.US,149.7850037,0.006460301618,0.9676563015,entry,1,2,,,,
2021-12-07,2021-12-06,sell,SMH.US,153.5,0.006460301618,0.9916562983,momentum,27,24,0.02480219145,1,-0.03024333991,0.006075399004
2021-12-07,2021-12-06,buy,XHB.US,85.26000214,0.01163096732,0.9916562983,entry,1,1,,,,
2021-12-17,2021-12-16,sell,XHB.US,82.87999725,0.01163096732,0.9639745393,momentum,18,16,-0.02791467069,10,-0.02932207292,0.01583390148
2021-12-17,2021-12-16,buy,XLP.US,76.23999786,0.01264394762,0.9639745393,entry,1,1,,,,
2021-12-22,2021-12-21,sell,XLP.US,74.58000183,0.01264394762,0.9429856365,momentum,18,11,-0.0217732959,5,-0.02898739699,0.004984324416
2021-12-22,2021-12-21,buy,DTCR.US,18,0.05238809091,0.9429856365,entry,1,1,,,,
2021-12-28,2021-12-27,sell,DTCR.US,18.51000023,0.05238809091,0.9697035748,momentum,13,13,0.02833334605,6,-0.001111136542,0.02777777778
2021-12-28,2021-12-27,buy,SMH.US,158.9149933,0.006102026969,0.9697035748,entry,1,1,,,,
2021-12-31,2021-12-30,sell,SMH.US,155.0099945,0.006102026969,0.9458751669,momentum,23,26,-0.02457287823,3,-0.0269326304,0.0002832547565
2021-12-31,2021-12-30,buy,XLRE.US,51.72000122,0.01828838253,0.9458751669,entry,1,1,,,,
2022-01-05,2022-01-04,sell,XLRE.US,50.95999908,0.01828838253,0.9319759572,momentum,22,21,-0.01469454985,5,-0.02262184756,0.008700636845
2022-01-05,2022-01-04,buy,XLE.US,29.88999939,0.03118019325,0.9319759572,entry,1,1,,,,
2022-02-10,2022-02-09,sell,XLE.US,34.25500107,0.03118019325,1.068077553,momentum,16,12,0.1460355225,36,-0.01137504716,0.1781532577
2022-02-10,2022-02-09,buy,COPX.US,40.99000168,0.02605702633,1.068077553,entry,1,2,,,,
2022-03-09,2022-03-08,sell,COPX.US,42.93000031,0.02605702633,1.118628148,momentum,10,11,0.04732858129,27,-0.04562094828,0.09660890272
2022-03-09,2022-03-08,buy,XES.US,73.91000366,0.01513500329,1.118628148,entry,1,1,,,,
2022-03-15,2022-03-14,sell,XES.US,68.40000153,0.01513500329,1.035234248,momentum,15,11,-0.07455015374,6,-0.04410772527,0.04072512999
2022-03-15,2022-03-14,buy,KRE.US,70.91999817,0.01459721199,1.035234248,entry,1,4,,,,
