trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-11-24,2021-11-23,buy,XLY.US,103.5749969,0.009654839773,1,entry,1,1,,,,
2021-12-08,2021-12-07,sell,XLY.US,103.3949966,0.009654839773,0.9982621259,momentum,26,24,-0.001737874106,14,-0.04610180099,0.01583393133
2021-12-08,2021-12-07,buy,XSD.US,248,0.004025250508,0.9982621259,entry,1,1,,,,
2021-12-15,2021-12-14,sell,XSD.US,234.9900055,0.004025250508,0.9458936389,momentum,31,30,-0.05245965527,7,-0.06729839694,0.008064516129
2021-12-15,2021-12-14,buy,XLP.US,75.22000122,0.01257502823,0.9458936389,entry,1,1,,,,
2021-12-27,2021-12-23,sell,XLP.US,75.30000305,0.01257502823,0.9468996642,momentum,32,26,0.001063571254,12,-0.01582029277,0.02073913232
2021-12-27,2021-12-23,buy,SMH.US,154.6549988,0.006122657991,0.9468996642,entry,1,1,,,,
2021-12-31,2021-12-30,sell,SMH.US,155.0099945,0.006122657991,0.9490731816,momentum,23,26,0.00229540416,4,-0.0007436260973,0.02783620296
2021-12-31,2021-12-30,buy,XLRE.US,51.72000122,0.01835021576,0.9490731816,entry,1,1,,,,
2022-01-05,2022-01-04,sell,XLRE.US,50.95999908,0.01835021576,0.9351269784,momentum,22,21,-0.01469454985,5,-0.02262184756,0.008700636845
2022-01-05,2022-01-04,buy,XLE.US,29.88999939,0.03128561384,0.9351269784,entry,1,1,,,,
2022-02-11,2022-02-10,sell,XLE.US,34.43999863,0.03128561384,1.077476498,momentum,25,21,0.1522248019,37,-0.01137504716,0.1781532577
2022-02-11,2022-02-10,buy,COPX.US,41.09000015,0.02622235321,1.077476498,entry,1,2,,,,
2022-03-15,2022-03-14,sell,COPX.US,39.90000153,0.02622235321,1.046271933,momentum,31,28,-0.02896078419,32,-0.0479435681,0.09394014592
2022-03-15,2022-03-14,buy,KRE.US,70.91999817,0.01475284772,1.046271933,entry,1,4,,,,
2022-03-18,2022-03-17,sell,KRE.US,71.83999634,0.01475284772,1.059844526,momentum,25,30,0.01297233774,3,-0.01931747254,0.03073886578
2022-03-18,2022-03-17,buy,XTN.US,88.25,0.0120095697,1.059844526,entry,1,1,,,,
2022-03-24,2022-03-23,sell,XTN.US,88.73999786,0.0120095697,1.06572919,momentum,30,25,0.005552383725,6,-0.00600565189,0.01903683065
2022-03-24,2022-03-23,buy,XME.US,62.02999878,0.01718086749,1.06572919,entry,1,1,,,,
2022-04-25,2022-04-22,sell,XME.US,56.72000122,0.01718086749,0.9744988251,momentum,31,31,-0.08560370245,32,-0.06561340924,0.07415764251
2022-04-25,2022-04-22,buy,XLRE.US,49.31000137,0.01976270124,0.9744988251,entry,1,1,,,,
2022-05-02,2022-04-29,sell,XLRE.US,46.72999954,0.01976270124,0.9235110198,momentum,26,24,-0.05232207989,7,-0.05718920333,0.002839168237
2022-05-02,2022-04-29,buy,XLB.US,42.56999969,0.02169394001,0.9235110198,entry,1,2,,,,
2022-06-01,2022-05-31,sell,XLB.US,43.08499908,0.02169394001,0.9346833856,momentum,25,22,0.01209770715,30,-0.06319000813,0.04016911197
2022-06-01,2022-05-31,buy,XOP.US,157,0.005953397361,0.9346833856,entry,1,1,,,,
2022-06-17,2022-06-16,sell,XOP.US,139,0.005953397361,0.8275222331,momentum,23,21,-0.1146496815,16,-0.1186624515,0.08675156126
2022-06-17,2022-06-16,buy,GDX.US,30.70000076,0.02695512093,0.8275222331,entry,1,3,,,,
2022-06-21,2022-06-17,sell,GDX.US,30.35000038,0.02695512093,0.8180879305,momentum,22,21,-0.01140066361,4,-0.01824108662,0.002931600989
2022-06-21,2022-06-17,buy,XHS.US,80.40000153,0.01017522282,0.8180879305,entry,1,3,,,,
2022-07-29,2022-07-28,sell,XHS.US,95.08999634,0.01017522282,0.967561901,momentum,26,23,0.1827113748,38,-0.005970190893,0.1960199233
2022-07-29,2022-07-28,buy,TAN.US,82.73000336,0.01169541716,0.967561901,entry,1,1,,,,
2022-08-17,2022-08-16,sell,TAN.US,86.19999695,0.01169541716,1.008144924,momentum,30,27,0.04194359302,19,-0.03481209677,0.1014142276
2022-08-17,2022-08-16,buy,XRT.US,73.15000153,0.0137818852,1.008144924,entry,1,1,,,,
2022-08-23,2022-08-22,sell,XRT.US,67.69999695,0.0137818852,0.9330335862,momentum,26,27,-0.07450450395,6,-0.08325364102,0.004647933435
2022-08-23,2022-08-22,buy,XOP.US,146.1199951,0.006385392947,0.9330335862,entry,1,1,,,,
2022-09-02,2022-09-01,sell,XOP.US,143.7299957,0.006385392947,0.9177725009,momentum,24,23,-0.01635641575,10,-0.05474952277,0.05139618133
2022-09-02,2022-09-01,buy,XLU.US,37.79999924,0.02427969628,0.9177725009,entry,1,1,,,,
2022-09-16,2022-09-15,sell,XLU.US,37.24000168,0.02427969628,0.9041759303,momentum,24,21,-0.01481475053,14,-0.01613758261,0.03465612169
2022-09-16,2022-09-15,buy,MLPX.US,42.13000107,0.02146156913,0.9041759303,entry,1,1,,,,
2022-09-26,2022-09-23,sell,MLPX.US,37.25999832,0.02146156913,0.7996580297,momentum,27,24,-0.1155946504,10,-0.1155946504,0
2022-09-26,2022-09-23,buy,XLU.US,35.79000092,0.02234305698,0.7996580297,entry,1,1,,,,
2022-09-29,2022-09-28,sell,XLU.US,34.61500168,0.02234305698,0.7734049548,momentum,34,35,-0.0328303774,3,-0.0428890698,0.001257283258
2022-09-29,2022-09-28,buy,XHS.US,88.29000092,0.008759824972,0.7734049548,entry,1,1,,,,
2022-10-06,2022-10-05,sell,XHS.US,92.55999756,0.008759824972,0.810809378,momentum,27,27,0.04836330953,7,-0.008721307787,0.05210101287
2022-10-06,2022-10-05,buy,XES.US,63.45999908,0.01277670012,0.810809378,entry,1,1,,,,
2022-11-15,2022-11-14,sell,XES.US,81.93000031,0.01277670012,1.046795045,momentum,31,23,0.2910495034,40,-0.06350455149,0.3249291372
2022-11-15,2022-11-14,buy,GDX.US,28.44000053,0.03680713872,1.046795045,entry,1,2,,,,
2022-11-18,2022-11-17,sell,GDX.US,27.04000092,0.03680713872,0.9952650647,momentum,27,25,-0.04922642729,3,-0.05625880279,0.001758060342
2022-11-18,2022-11-17,buy,XLE.US,45.32500076,0.02195841253,0.9952650647,entry,1,5,,,,
2022-11-22,2022-11-21,sell,XLE.US,45.75999832,0.02195841253,1.004816921,momentum,36,34,0.009597298428,4,-0.03706564317,0.01356862335
2022-11-22,2022-11-21,buy,XLP.US,75.94999695,0.01322997974,1.004816921,entry,1,2,,,,
2022-12-02,2022-12-01,sell,XLP.US,76.27999878,0.01322997974,1.009182838,momentum,30,26,0.004344988075,10,-0.009611530703,0.01658989054
2022-12-02,2022-12-01,buy,COPX.US,36.16999817,0.02790110282,1.009182838,entry,1,1,,,,
2022-12-30,2022-12-29,sell,COPX.US,35.81999969,0.02790110282,0.9994174946,momentum,27,21,-0.009676485813,28,-0.03428249728,0.04755325706
2022-12-30,2022-12-29,buy,IHI.US,52.40999985,0.01906921384,0.9994174946,entry,1,3,,,,
2023-01-09,2023-01-06,sell,IHI.US,53.56999969,0.01906921384,1.02153778,momentum,24,22,0.02213317784,10,-0.008395318222,0.02633087335
2023-01-09,2023-01-06,buy,GDX.US,31.95000076,0.03197301269,1.02153778,entry,1,1,,,,
2023-01-18,2023-01-17,sell,GDX.US,32.06000137,0.03197301269,1.025054831,momentum,23,21,0.00344289852,9,-0.02347417784,0.02503909915
2023-01-18,2023-01-17,buy,XES.US,87.19999695,0.01175521636,1.025054831,entry,1,1,,,,
2023-01-24,2023-01-23,sell,XES.US,84.19999695,0.01175521636,0.9897891816,momentum,23,21,-0.03440367093,6,-0.06410546483,0.004587173622
2023-01-24,2023-01-23,buy,BOTZ.US,23.20000076,0.04266332539,0.9897891816,entry,1,3,,,,
2023-02-17,2023-02-16,sell,BOTZ.US,23.65999985,0.04266332539,1.009414272,momentum,27,25,0.01982754609,24,-0.01724144451,0.08211201365
2023-02-17,2023-02-16,buy,XHS.US,94.25,0.01070996575,1.009414272,entry,1,2,,,,
2023-03-01,2023-02-28,sell,XHS.US,90.43000031,0.01070996575,0.9685022063,momentum,26,21,-0.04053050074,12,-0.03681698908,0
2023-03-01,2023-02-28,buy,BOTZ.US,23.75,0.04077904027,0.9685022063,entry,1,1,,,,
2023-04-06,2023-04-05,sell,BOTZ.US,24.40999985,0.04077904027,0.9954163667,momentum,28,26,0.02778946726,36,-0.04000003212,0.0741052728
2023-04-06,2023-04-05,buy,GDX.US,34.20000076,0.02910574107,0.9954163667,entry,1,1,,,,
2023-04-20,2023-04-19,sell,GDX.US,34.31000137,0.02910574107,0.998618016,momentum,32,31,0.003216392044,14,-0.01549715153,0.05555548739
2023-04-20,2023-04-19,buy,IHI.US,56.41999817,0.01769971727,0.998618016,entry,1,1,,,,
2023-05-08,2023-05-05,sell,IHI.US,56.11999893,0.01769971727,0.9933081143,momentum,22,21,-0.005317250032,18,-0.02020559069,0.01471112829
2023-05-08,2023-05-05,buy,GDX.US,35.49000168,0.02798839299,0.9933081143,entry,1,1,,,,
2023-05-12,2023-05-11,sell,GDX.US,33.5,0.02798839299,0.9376111653,momentum,33,29,-0.05607217764,4,-0.05550862574,0.009016615376
2023-05-12,2023-05-11,buy,QQQ.US,326.74,0.002869594066,0.9376111653,entry,1,1,,,,
2023-06-08,2023-06-07,sell,QQQ.US,349.12,0.002869594066,1.00183268,momentum,30,22,0.06849482769,27,-0.01163004224,0.09412682867
2023-06-08,2023-06-07,buy,XHB.US,75.05999756,0.01334709183,1.00183268,entry,1,1,,,,
2023-07-07,2023-07-06,sell,XHB.US,77.61000061,0.01334709183,1.035867805,momentum,29,24,0.03397286351,29,-0.01092458995,0.07540639284
2023-07-07,2023-07-06,buy,XES.US,77.83999634,0.01330765486,1.035867805,entry,1,2,,,,
2023-08-24,2023-08-23,sell,XES.US,90.51000214,0.01330765486,1.20447587,momentum,23,21,0.1627698663,48,0,0.2381809068
2023-08-24,2023-08-23,buy,URA.US,23.45999908,0.05134168442,1.20447587,entry,1,1,,,,
2023-10-04,2023-10-03,sell,URA.US,25.37000084,0.05134168442,1.302538577,momentum,25,21,0.08141525274,41,-0.02557538353,0.2114237504
2023-10-04,2023-10-03,buy,XLC.US,65.12000275,0.02000212718,1.302538577,entry,1,1,,,,
2023-10-27,2023-10-26,sell,XLC.US,63.38000107,0.02000212718,1.267734842,momentum,32,32,-0.02671992637,23,-0.03531945569,0.0576627318
2023-10-27,2023-10-26,buy,XLU.US,29.79999924,0.04254143874,1.267734842,entry,1,3,,,,
2023-11-03,2023-11-02,sell,XLU.US,31.28499985,0.04254143874,1.330908905,momentum,27,24,0.04983223652,7,-0.01795301547,0.03724834358
2023-11-03,2023-11-02,buy,URA.US,27.57999992,0.04825630559,1.330908905,entry,1,1,,,,
2023-11-07,2023-11-06,sell,URA.US,26.18000031,0.04825630559,1.263350095,momentum,36,34,-0.05076140763,4,-0.05076140763,0.001812880247
2023-11-07,2023-11-06,buy,SMH.US,149.6600037,0.008441467755,1.263350095,entry,1,1,,,,
2023-11-27,2023-11-24,sell,SMH.US,161.2200012,0.008441467755,1.360933442,momentum,37,31,0.07724172976,20,-0.002338674963,0.1054389843
2023-11-27,2023-11-24,buy,URA.US,29,0.04692873937,1.360933442,entry,1,1,,,,
2023-11-29,2023-11-28,sell,URA.US,28.88999939,0.04692873937,1.355771252,momentum,27,25,-0.003793124495,2,-0.01310341934,0.006206907075
2023-11-29,2023-11-28,buy,GDX.US,31.21999931,0.04342637033,1.355771252,entry,1,2,,,,
2023-12-06,2023-12-05,sell,GDX.US,30.84000015,0.04342637033,1.339269268,momentum,34,29,-0.0121716582,7,-0.0336322633,0.02210123476
2023-12-06,2023-12-05,buy,KRE.US,47.93999863,0.02793636433,1.339269268,entry,1,1,,,,
2023-12-22,2023-12-21,sell,KRE.US,52.5,0.02793636433,1.466659127,momentum,24,22,0.09511892999,16,-0.01001250638,0.1362119896
2023-12-22,2023-12-21,buy,XME.US,60.61999893,0.02419431133,1.466659127,entry,1,1,,,,
2024-01-04,2024-01-03,sell,XME.US,58.24000168,0.02419431133,1.409076733,momentum,23,21,-0.03926092536,13,-0.0471791597,0.01946552831
2024-01-04,2024-01-03,buy,XLV.US,138.9799957,0.0101387018,1.409076733,entry,1,2,,,,
2024-01-19,2024-01-18,sell,XLV.US,139.4600067,0.0101387018,1.413943421,momentum,24,21,0.003453813506,15,-0.01050504749,0.01856383588
2024-01-19,2024-01-18,buy,SMH.US,182.3899994,0.007752307833,1.413943421,entry,1,1,,,,
2024-02-21,2024-02-20,sell,SMH.US,195.6399994,0.007752307833,1.5166615,momentum,29,28,0.07264652692,33,-0.005318280739,0.135588551
2024-02-21,2024-02-20,buy,SHLD.US,30.29000092,0.05007135866,1.5166615,entry,1,1,,,,
