trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-11-24,1.005042709,1.110223025e-16,1.104652583e-16,3,0.005042709303,0,0.5,KBE.US;KRE.US;XLY.US
2021-11-26,0.9637401403,1.110223025e-16,1.151994172e-16,3,-0.04109533715,-0.04109533715,0,KBE.US;KRE.US;XLY.US
2021-11-29,0.9822513324,0,0,3,0.01920765914,-0.02267702324,0.6692809822,DTCR.US;XHB.US;XLY.US
2021-11-30,0.9658259634,0,0,3,-0.01672216517,-0.03901997948,0.323822145,DTCR.US;SMH.US;XLY.US
2021-12-01,0.955490073,0,0,3,-0.01070160753,-0.04930401051,0,DTCR.US;SMH.US;XLY.US
2021-12-02,0.9620113667,0,0,3,0.006825077382,-0.04281543681,0,DTCR.US;SMH.US;XLY.US
2021-12-03,0.94809103,0,0,3,-0.01447003349,-0.0566659295,0,DTCR.US;SMH.US;XLY.US
2021-12-06,0.9517394311,0,0,3,0.003848154897,-0.05303583388,0.6771164552,SMH.US;XHB.US;XSD.US
2021-12-07,0.9727943433,0,0,3,0.02212255944,-0.03208656282,0.6745363044,XHB.US;XLP.US;XLU.US
2021-12-08,0.9731844835,0,0,3,0.0004010511014,-0.03169838007,0,XHB.US;XLP.US;XLU.US
2021-12-09,0.9627344824,0,0,3,-0.01073794468,-0.0420959493,0.6616113816,XHB.US;XLRE.US;XSD.US
2021-12-10,0.9711212402,0,0,3,0.008711392419,-0.03375127121,0.3322329202,XHB.US;XLP.US;XSD.US
2021-12-13,0.9608829826,0,0,3,-0.01054271823,-0.0439381593,0,XHB.US;XLP.US;XSD.US
2021-12-14,0.9514127179,0,0,3,-0.009855793968,-0.05336090783,0.3159571808,XHB.US;XLK.US;XLP.US
2021-12-15,0.9654300226,0,0,3,0.01473314829,-0.0394139337,0.3179585168,XHB.US;XLP.US;XLV.US
2021-12-16,0.9644215149,0,0,3,-0.001044620143,-0.04041738126,0,XHB.US;XLP.US;XLV.US
2021-12-17,0.9505630555,0,0,3,-0.01436971207,-0.05420630719,0.330472882,XLP.US;XLU.US;XLV.US
2021-12-20,0.9432327841,0,0,3,-0.007711504567,-0.06149979957,0,XLP.US;XLU.US;XLV.US
2021-12-21,0.9436185954,0,0,3,0.0004090308501,-0.06111592404,0,XLP.US;XLU.US;XLV.US
2021-12-22,0.9516582337,0,0,3,0.008520008337,-0.05311662388,0.3444595307,DTCR.US;XLU.US;XLV.US
2021-12-23,0.9554725806,0,0,3,0.004008105738,-0.04932141519,0.3299862405,DTCR.US;XLV.US;XME.US
2021-12-27,0.9755582034,0,0,3,0.02102166327,-0.0293365701,0.3264380075,DTCR.US;SMH.US;XME.US
2021-12-28,0.9636225576,0,0,3,-0.01223468348,-0.04121232993,0.3426221453,SMH.US;XME.US;XSD.US
2021-12-29,0.9624323796,0,0,3,-0.001235108034,-0.04239653629,0,SMH.US;XME.US;XSD.US
2021-12-30,0.9578147233,0,0,3,-0.004797902109,-0.04699102396,0.3300579194,SMH.US;XLRE.US;XSD.US
2021-12-31,0.9605614911,0,0,3,0.002867744419,-0.04425803779,0.3263872441,XLB.US;XLRE.US;XSD.US
2022-01-03,0.960529389,0,0,3,-3.342010712e-05,-0.04428997879,0,XLB.US;XLRE.US;XSD.US
2022-01-04,0.9539754563,0,0,3,-0.006823250615,-0.05081102778,0.324163664,XLRE.US;XLY.US;XSD.US
2022-01-05,0.928702593,0,0,3,-0.0264921525,-0.07595708678,0.6725019928,XES.US;XLE.US;XLY.US
2022-01-06,0.9386807113,0,0,3,0.01074414822,-0.06602903276,0.3232567124,XES.US;XLE.US;XME.US
2022-01-07,0.9495022792,0,0,3,0.0115284865,-0.05526176107,0,XES.US;XLE.US;XME.US
2022-01-10,0.946265277,0,0,3,-0.003409156869,-0.05848252193,0,XES.US;XLE.US;XME.US
2022-01-11,0.9698764212,0,0,3,0.02495192916,-0.03498984451,0.3103853047,KRE.US;XES.US;XLE.US
2022-01-12,0.9694276347,0,0,3,-0.0004627254628,-0.03543637928,0,KRE.US;XES.US;XLE.US
2022-01-13,0.9680241385,0,0,3,-0.001447757541,-0.03683283354,0,KRE.US;XES.US;XLE.US
2022-01-14,0.9916934386,0,0,3,0.02445114662,-0.01328229193,0,KRE.US;XES.US;XLE.US
2022-01-18,0.9802846015,0,0,3,-0.01150439909,-0.02463388623,0,KRE.US;XES.US;XLE.US
2022-01-19,0.9637856423,0,0,3,-0.01683078483,-0.04105006342,0,KRE.US;XES.US;XLE.US
2022-01-20,0.9457617961,0,0,3,-0.01870109431,-0.05898347663,0,KRE.US;XES.US;XLE.US
2022-01-21,0.9264279519,0,0,3,-0.02044261501,-0.07822031514,0.291980888,XES.US;XLE.US;XLU.US
2022-01-24,0.9339526501,0,0,3,0.008122270352,-0.07073337133,0,XES.US;XLE.US;XLU.US
2022-01-25,0.9388618236,0,0,3,0.005256340804,-0.06584882923,0.3445631965,XLE.US;XLP.US;XLU.US
2022-01-26,0.9336361576,0,0,3,-0.005565958567,-0.07104827595,0,XLE.US;XLP.US;XLU.US
2022-01-27,0.9419406342,0,0,3,0.008894767572,-0.06278546628,0,XLE.US;XLP.US;XLU.US
2022-01-28,0.9474386522,0,0,3,0.005836904979,-0.0573150341,0,XLE.US;XLP.US;XLU.US
2022-01-31,0.9490152248,0,0,3,0.001664036658,-0.05574637176,0.2841049726,XES.US;XLE.US;XLP.US
2022-02-01,0.9750847447,0,0,3,0.02747007552,-0.02980765328,0,XES.US;XLE.US;XLP.US
2022-02-02,0.9742878788,0,0,3,-0.0008172272868,-0.03060052094,0.3341180813,XES.US;XLE.US;XLK.US
2022-02-03,0.9592302951,0,0,3,-0.01545496358,-0.04558255459,0.2848825391,XLE.US;XLK.US;XOP.US
2022-02-04,0.970497005,0,0,3,0.01174557344,-0.03437237439,0,XLE.US;XLK.US;XOP.US
2022-02-07,0.9742029693,0,0,3,0.003818625127,-0.03068500447,0.3294679091,XLE.US;XME.US;XOP.US
2022-02-08,0.969910642,0,0,3,-0.004405988747,-0.03495579543,0,XLE.US;XME.US;XOP.US
2022-02-09,0.9810080108,0,0,3,0.01144164045,-0.02391410663,0.2794830135,XLE.US;XLF.US;XME.US
2022-02-10,0.9783994416,0,0,3,-0.002659070238,-0.02650958758,0.374736768,COPX.US;XLF.US;XME.US
2022-02-11,0.9786960841,0,0,3,0.0003031916325,-0.02621443343,0,COPX.US;XLF.US;XME.US
2022-02-14,0.9794672034,0,0,3,0.0007879047834,-0.02544718312,0.270826709,COPX.US;XES.US;XME.US
2022-02-15,0.9907780288,0,0,3,0.0115479368,-0.01419310878,0,COPX.US;XES.US;XME.US
2022-02-16,1.000535287,0,0,3,0.009848077116,-0.004484806498,0,COPX.US;XES.US;XME.US
2022-02-17,0.9919114986,0,0,3,-0.008619174901,-0.01306532607,0,COPX.US;XES.US;XME.US
2022-02-18,0.9814360897,0,0,3,-0.0105608302,-0.02348817558,0,COPX.US;XES.US;XME.US
2022-02-22,0.9786231085,0,0,3,-0.002866188871,-0.0262870429,0.2702859701,COPX.US;GDX.US;XME.US
2022-02-23,0.9855595223,0,0,3,0.007087931788,-0.01938543188,0,COPX.US;GDX.US;XME.US
2022-02-24,0.9732772787,0,0,3,-0.01246220378,-0.03160605046,0,COPX.US;GDX.US;XME.US
2022-02-25,1.010423583,0,0,3,0.03816620942,0,0,COPX.US;GDX.US;XME.US
2022-02-28,1.031419701,0,0,3,0.02077952117,0,0.265253992,COPX.US;XHE.US;XME.US
2022-03-01,1.039756477,0,0,3,0.008082815751,0,0,COPX.US;XHE.US;XME.US
2022-03-02,1.068130317,0,0,3,0.02728892832,0,0,COPX.US;XHE.US;XME.US
2022-03-03,1.084172019,0,0,3,0.01501848753,0,0.2567053774,COPX.US;URA.US;XME.US
2022-03-04,1.079761851,0,0,3,-0.004067774649,-0.004067774649,0,COPX.US;URA.US;XME.US
2022-03-07,1.061924707,0,0,3,-0.01651951691,-0.02052009389,0,COPX.US;URA.US;XME.US
2022-03-08,1.063513148,0,0,3,0.001495812806,-0.0190549753,0,COPX.US;URA.US;XME.US
2022-03-09,1.07984206,0,0,3,0.01535374719,-0.003993793391,0.3620253256,URA.US;XES.US;XME.US
2022-03-10,1.119010808,0,0,3,0.0362726644,0,0,URA.US;XES.US;XME.US
2022-03-11,1.094959594,0,0,3,-0.0214932811,-0.0214932811,0,URA.US;XES.US;XME.US
2022-03-14,1.030885123,0,0,3,-0.05851765797,-0.0787532026,0,URA.US;XES.US;XME.US
2022-03-15,1.002993281,0,0,3,-0.02705620799,-0.1036786476,0.7185390019,KIE.US;KRE.US;URA.US
2022-03-16,1.028975857,0,0,3,0.02590503444,-0.08045941205,0.2653715006,KIE.US;KRE.US;XLV.US
2022-03-17,1.032970011,0,0,3,0.003881679716,-0.07689005001,0,KIE.US;KRE.US;XLV.US
