trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-11-24,2021-11-23,buy,XLY.US,103.5749969,0.003218279924,0.3333333333,entry,1,1,,,,
2021-11-24,2021-11-23,buy,KRE.US,75.12000275,0.004437344531,0.3333333333,entry,2,2,,,,
2021-11-24,2021-11-23,buy,KBE.US,57.68999863,0.005778009036,0.3333333333,entry,3,5,,,,
2021-11-29,2021-11-26,sell,KRE.US,72.61000061,0.004437344531,0.3221955891,momentum,21,22,-0.03341323275,5,-0.06416399785,0.008519693374
2021-11-29,2021-11-26,sell,KBE.US,55.86999893,0.005778009036,0.3228173587,momentum,23,23,-0.03154792404,5,-0.05980234062,0.007453636946
2021-11-29,2021-11-26,buy,XHB.US,82.95999908,0.003887493701,0.3225064739,entry,1,1,,,,
2021-11-29,2021-11-26,buy,DTCR.US,17.73999977,0.01817962108,0.3225064739,entry,2,2,,,,
2021-11-30,2021-11-29,sell,XHB.US,81.81999969,0.003887493701,0.3180747334,momentum,12,12,-0.01374155499,1,-0.01494693681,0.003375105863
2021-11-30,2021-11-29,buy,SMH.US,155.0650024,0.002051234827,0.3180747334,entry,2,1,,,,
2021-12-06,2021-12-03,sell,XLY.US,100.2249985,0.003218279924,0.3225521005,momentum,16,17,-0.03234369851,12,-0.04610180099,0.01583393133
2021-12-06,2021-12-03,sell,DTCR.US,17.56999969,0.01817962108,0.3194159369,momentum,14,14,-0.009582868009,7,-0.01803831448,0.02694479408
2021-12-06,2021-12-03,buy,XSD.US,235.4700012,0.001363163108,0.3209840187,entry,2,3,,,,
2021-12-06,2021-12-03,buy,XHB.US,83.47000122,0.003845501545,0.3209840187,entry,3,1,,,,
2021-12-07,2021-12-06,sell,SMH.US,153.5,0.002051234827,0.3148645459,momentum,27,24,-0.01009255742,7,-0.06326377586,0.01754103878
2021-12-07,2021-12-06,sell,XSD.US,239.9700012,0.001363163108,0.3271182527,momentum,26,23,0.01911071464,1,-0.03495135552,0.002293257244
2021-12-07,2021-12-06,buy,XLU.US,34.22000122,0.009380227582,0.3209913993,entry,2,2,,,,
2021-12-07,2021-12-06,buy,XLP.US,72.94999695,0.004400156446,0.3209913993,entry,3,3,,,,
2021-12-09,2021-12-08,sell,XLU.US,34.51499939,0.009380227582,0.3237585493,momentum,17,15,0.008620635839,2,-0.002630045277,0.01300408179
2021-12-09,2021-12-08,sell,XLP.US,72.75,0.004400156446,0.3201113814,momentum,27,25,-0.002741562119,2,-0.01110346254,0.005483228823
2021-12-09,2021-12-08,buy,XLRE.US,49.45999908,0.006508996589,0.3219349653,entry,2,3,,,,
2021-12-09,2021-12-08,buy,XSD.US,247.0200043,0.001303274876,0.3219349653,entry,3,2,,,,
2021-12-10,2021-12-09,sell,XLRE.US,49.13999939,0.006508996589,0.3198520884,momentum,18,17,-0.006469868596,1,-0.01142334487,0.0002022267775
2021-12-10,2021-12-09,buy,XLP.US,73.38999939,0.004358251684,0.3198520884,entry,2,3,,,,
2021-12-14,2021-12-13,sell,XSD.US,232.9499969,0.001303274876,0.3035978783,momentum,13,14,-0.05695897936,5,-0.04444988582,0.012063783
2021-12-14,2021-12-13,buy,XLK.US,85.09999847,0.0035675427,0.3035978783,entry,1,1,,,,
2021-12-15,2021-12-14,sell,XLK.US,84.79499817,0.0035675427,0.3025097767,momentum,9,11,-0.003584022452,1,-0.01639244028,0.006404208916
2021-12-15,2021-12-14,buy,XLV.US,135.5899963,0.002231062651,0.3025097767,entry,2,5,,,,
2021-12-17,2021-12-16,sell,XHB.US,82.87999725,0.003845501545,0.3187151575,momentum,18,16,-0.007068455237,11,-0.008506038985,0.03761829812
2021-12-17,2021-12-16,buy,XLU.US,35.40499878,0.009001981882,0.3187151575,entry,2,2,,,,
2021-12-22,2021-12-21,sell,XLP.US,74.58000183,0.004358251684,0.3250384186,momentum,18,11,0.01621477655,12,-0.001771321086,0.0461915713
2021-12-22,2021-12-21,buy,DTCR.US,18,0.01805768992,0.3250384186,entry,1,1,,,,
2021-12-23,2021-12-22,sell,XLU.US,34.88499832,0.009001981882,0.3140341228,momentum,16,12,-0.01468720451,6,-0.03629430566,0.004942891055
