trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-11-24,1.005042709,1.110223025e-16,1.104652583e-16,3,0.005042709303,0,0.5,KBE.US;KRE.US;XLY.US
2021-11-26,0.9637401403,1.110223025e-16,1.151994172e-16,3,-0.04109533715,-0.04109533715,0,KBE.US;KRE.US;XLY.US
2021-11-29,0.9822513324,0,0,3,0.01920765914,-0.02267702324,0.6692809822,DTCR.US;XHB.US;XLY.US
2021-11-30,0.9653587132,0,0,3,-0.0171978583,-0.03948488531,0,DTCR.US;XHB.US;XLY.US
2021-12-01,0.9553918425,0,0,3,-0.01032452551,-0.04940174812,0,DTCR.US;XHB.US;XLY.US
2021-12-02,0.9717935287,0,0,3,0.01716749653,-0.03308235592,0,DTCR.US;XHB.US;XLY.US
2021-12-03,0.9602944427,0,0,3,-0.01183284885,-0.04452374626,0,DTCR.US;XHB.US;XLY.US
2021-12-06,0.9718527323,0,0,3,0.01203619336,-0.03302344932,0,DTCR.US;XHB.US;XLY.US
2021-12-07,0.9901662708,0,0,3,0.01884394404,-0.01480179731,0.3327823908,XHB.US;XLU.US;XLY.US
2021-12-08,0.9929801124,0,0,3,0.002841786949,-0.01200207391,0.3360587527,XHB.US;XLU.US;XSD.US
2021-12-09,0.9821091569,0,0,3,-0.01094780795,-0.02281848546,0,XHB.US;XLU.US;XSD.US
2021-12-10,0.9875056741,0,0,3,0.005494824294,-0.01744904473,0,XHB.US;XLU.US;XSD.US
2021-12-13,0.9767461457,0,0,3,-0.01089566238,-0.02815458821,0,XHB.US;XLU.US;XSD.US
2021-12-14,0.9674487129,0,0,3,-0.009518781157,-0.03740537201,0,XHB.US;XLU.US;XSD.US
2021-12-15,0.982485156,0,0,3,0.01554236718,-0.02244437285,0.3259065576,XHB.US;XLP.US;XLU.US
2021-12-16,0.981201749,0,0,3,-0.001306286358,-0.02372134043,0,XHB.US;XLP.US;XLU.US
2021-12-17,0.9631125657,0,0,3,-0.01843574305,-0.04171976294,0,XHB.US;XLP.US;XLU.US
2021-12-20,0.9561474552,0,0,3,-0.007231875915,-0.04864992671,0.3248079549,XLP.US;XLRE.US;XLU.US
2021-12-21,0.9570415229,0,0,3,0.0009350731271,-0.04776034482,0,XLP.US;XLRE.US;XLU.US
2021-12-22,0.9635543539,0,0,3,0.006805170699,-0.04128019142,0,XLP.US;XLRE.US;XLU.US
2021-12-23,0.9632629996,0,0,3,-0.0003023744838,-0.04157008383,0,XLP.US;XLRE.US;XLU.US
2021-12-27,0.981844782,0,0,3,0.0192904559,-0.0230815338,1.00129171,SMH.US;XHS.US;XSD.US
2021-12-28,0.9725649126,0,0,3,-0.009451462826,-0.03231484236,0,SMH.US;XHS.US;XSD.US
2021-12-29,0.9730373831,0,0,3,0.0004857984355,-0.03184474243,0,SMH.US;XHS.US;XSD.US
2021-12-30,0.9698321864,0,0,3,-0.003294011857,-0.03503385732,0,SMH.US;XHS.US;XSD.US
2021-12-31,0.9696062452,0,0,3,-0.0002329694387,-0.03525866495,0.3322640774,XHS.US;XLRE.US;XSD.US
2022-01-03,0.9760603491,0,0,3,0.006656417467,-0.02883694387,0,XHS.US;XLRE.US;XSD.US
2022-01-04,0.9651122967,0,0,3,-0.01121657326,-0.03973006543,0,XHS.US;XLRE.US;XSD.US
2022-01-05,0.9311621966,0,0,3,-0.03517735732,-0.07350982405,0.6603634132,XES.US;XLE.US;XSD.US
2022-01-06,0.94103517,0,0,3,0.0106028503,-0.06368638741,0.329660774,XES.US;XLE.US;XME.US
2022-01-07,0.9518791316,0,0,3,0.01152343926,-0.05289683437,0,XES.US;XLE.US;XME.US
2022-01-10,0.9485922607,0,0,3,-0.003453033862,-0.05616721367,0,XES.US;XLE.US;XME.US
2022-01-11,0.9777997395,0,0,3,0.03079034058,-0.02710628072,0,XES.US;XLE.US;XME.US
2022-01-12,0.9834747866,0,0,3,0.005803895118,-0.02145970762,0,XES.US;XLE.US;XME.US
2022-01-13,0.9752782104,0,0,3,-0.008334302341,-0.02961515826,0,XES.US;XLE.US;XME.US
2022-01-14,0.9975739755,0,0,3,0.02286092817,-0.007431260097,0,XES.US;XLE.US;XME.US
2022-01-18,0.9874642309,0,0,3,-0.01013433077,-0.01749028002,0,XES.US;XLE.US;XME.US
2022-01-19,0.978789689,0,0,3,-0.008784664392,-0.02612129817,0,XES.US;XLE.US;XME.US
2022-01-20,0.9572484037,0,0,3,-0.02200808357,-0.04755450203,0,XES.US;XLE.US;XME.US
2022-01-21,0.926126305,0,0,3,-0.03251204033,-0.07852044847,0,XES.US;XLE.US;XME.US
2022-01-24,0.9279656847,0,0,3,0.001986100201,-0.07669029775,0.291363336,XES.US;XLE.US;XLP.US
2022-01-25,0.9549248175,0,0,3,0.02905186399,-0.04986642986,0,XES.US;XLE.US;XLP.US
2022-01-26,0.9513387007,0,0,3,-0.003755391799,-0.05343455368,0,XES.US;XLE.US;XLP.US
2022-01-27,0.9489443844,0,0,3,-0.002516786438,-0.05581685676,0,XES.US;XLE.US;XLP.US
2022-01-28,0.951443383,0,0,3,0.002633451129,-0.05333039659,0,XES.US;XLE.US;XLP.US
2022-01-31,0.9532273118,0,0,3,0.001874971028,-0.05155541851,0,XES.US;XLE.US;XLP.US
2022-02-01,0.9823959765,0,0,3,0.03059990452,-0.02253310487,0,XES.US;XLE.US;XLP.US
2022-02-02,0.9815818102,0,0,3,-0.0008287558112,-0.02334318624,0,XES.US;XLE.US;XLP.US
2022-02-03,0.9719890493,0,0,3,-0.009772757357,-0.03288781631,0,XES.US;XLE.US;XLP.US
2022-02-04,0.9827611728,0,0,3,0.01108255649,-0.0221697409,0,XES.US;XLE.US;XLP.US
2022-02-07,0.9876169772,0,0,3,0.004940981073,-0.0173383001,0.2764959411,XES.US;XLE.US;XOP.US
2022-02-08,0.9636184539,0,0,3,-0.02429942363,-0.04121641303,0,XES.US;XLE.US;XOP.US
2022-02-09,0.9735066782,0,0,3,0.01026155553,-0.03137780201,0.623595154,XLE.US;XLF.US;XME.US
2022-02-10,0.9683181187,0,0,3,-0.005329762612,-0.03654032838,0,XLE.US;XLF.US;XME.US
2022-02-11,0.9708614011,0,0,3,0.002626494683,-0.03400980668,0.3791840126,COPX.US;XLF.US;XME.US
2022-02-14,0.972752994,0,0,3,0.001948365612,-0.0321277046,0,COPX.US;XLF.US;XME.US
2022-02-15,0.9842592595,0,0,3,0.01182855826,-0.02067917077,0,COPX.US;XLF.US;XME.US
2022-02-16,0.9912825276,0,0,3,0.007135587573,-0.01369114124,0.2978135612,COPX.US;XES.US;XME.US
2022-02-17,0.9826819332,0,0,3,-0.008676229231,-0.02224858299,0,COPX.US;XES.US;XME.US
2022-02-18,0.9718017314,0,0,3,-0.01107194652,-0.03307419439,0,COPX.US;XES.US;XME.US
2022-02-22,0.9644511621,0,0,3,-0.00756385694,-0.04038788286,0,COPX.US;XES.US;XME.US
2022-02-23,0.9658038965,0,0,3,0.001402595034,-0.03904193567,0,COPX.US;XES.US;XME.US
2022-02-24,0.9623690354,0,0,3,-0.003556478796,-0.04245956265,0,COPX.US;XES.US;XME.US
2022-02-25,0.9997235769,0,0,3,0.03881519473,-0.005292444105,0,COPX.US;XES.US;XME.US
2022-02-28,1.020677301,0,0,3,0.02095951785,0,0,COPX.US;XES.US;XME.US
2022-03-01,1.024314461,0,0,3,0.003563476806,0,0,COPX.US;XES.US;XME.US
2022-03-02,1.062221031,0,0,3,0.03700677073,0,0,COPX.US;XES.US;XME.US
2022-03-03,1.08508107,0,0,3,0.02152098128,0,0,COPX.US;XES.US;XME.US
2022-03-04,1.102060323,0,0,3,0.01564791127,0,0,COPX.US;XES.US;XME.US
2022-03-07,1.105048831,0,0,3,0.002711746258,0,0,COPX.US;XES.US;XME.US
2022-03-08,1.107517466,0,0,3,0.00223396065,0,0,COPX.US;XES.US;XME.US
2022-03-09,1.095808881,0,0,3,-0.01057191908,-0.01057191908,0,COPX.US;XES.US;XME.US
2022-03-10,1.135935603,0,0,3,0.03661835764,0,0,COPX.US;XES.US;XME.US
2022-03-11,1.113786449,0,0,3,-0.01949859955,-0.01949859955,0,COPX.US;XES.US;XME.US
2022-03-14,1.056225466,0,0,3,-0.05168044833,-0.07017135152,0,COPX.US;XES.US;XME.US
2022-03-15,1.036308052,0,0,3,-0.01885716111,-0.08770528015,0.3375578494,KRE.US;XES.US;XME.US
2022-03-16,1.045546089,0,0,3,0.00891437312,-0.07957274462,0,KRE.US;XES.US;XME.US
2022-03-17,1.073139312,0,0,3,0.02639120695,-0.05528155844,0,KRE.US;XES.US;XME.US
2022-03-18,1.076535107,0,0,3,0.003164355488,-0.05229213346,0.6852395968,XES.US;XLV.US;XTN.US
2022-03-21,1.073939993,0,0,3,-0.002410616389,-0.05457669357,0.3156905017,XLV.US;XSD.US;XTN.US
