trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-11-24,2021-11-23,buy,XLY.US,103.5749969,0.003218279924,0.3333333333,entry,1,1,,,,
2021-11-24,2021-11-23,buy,KRE.US,75.12000275,0.004437344531,0.3333333333,entry,2,2,,,,
2021-11-24,2021-11-23,buy,KBE.US,57.68999863,0.005778009036,0.3333333333,entry,3,5,,,,
2021-11-29,2021-11-26,sell,KRE.US,72.61000061,0.004437344531,0.3221955891,stop,21,22,-0.03341323275,5,-0.06416399785,0.008519693374
2021-11-29,2021-11-26,sell,KBE.US,55.86999893,0.005778009036,0.3228173587,stop,23,23,-0.03154792404,5,-0.05980234062,0.007453636946
2021-11-30,2021-11-29,buy,DTCR.US,17.89999962,0.03603424366,0.6450129477,entry,1,2,,,,
2021-12-01,2021-11-30,sell,XLY.US,103.375,0.003218279924,0.3326896872,stop,7,8,-0.00193093849,7,-0.01834413664,0.01583393133
2021-12-06,2021-12-03,buy,XHB.US,83.47000122,0.003985739575,0.3326896872,entry,3,1,,,,
2021-12-07,2021-12-06,sell,DTCR.US,17.79000092,0.03603424366,0.6410492277,momentum,25,25,-0.00614517907,7,-0.02681561746,0.01776540783
2021-12-07,2021-12-06,buy,XLU.US,34.22000122,0.009366586861,0.3205246138,entry,2,2,,,,
2021-12-07,2021-12-06,buy,XLP.US,72.94999695,0.004393757742,0.3205246138,entry,3,3,,,,
2021-12-09,2021-12-08,sell,XLP.US,72.75,0.004393757742,0.3196458757,momentum,27,25,-0.002741562119,2,-0.01110346254,0.005483228823
2021-12-09,2021-12-08,buy,XLRE.US,49.45999908,0.006462714954,0.3196458757,entry,2,3,,,,
2021-12-15,2021-12-14,sell,XHB.US,83.36000061,0.003985739575,0.3322512534,stop,8,6,-0.001317846037,9,-0.005031725923,0.03761829812
2021-12-15,2021-12-14,buy,XLP.US,75.22000122,0.004417059931,0.3322512534,entry,1,1,,,,
2021-12-21,2021-12-20,sell,XLU.US,34.875,0.009366586861,0.3266597168,stop,4,4,0.01914081695,14,-0.002922334461,0.04485680282
2021-12-21,2021-12-20,sell,XLP.US,74.70999908,0.004417059931,0.3299985434,stop,3,3,-0.006780139962,6,-0.01582029277,0.02073913232
2021-12-21,2021-12-20,buy,DTCR.US,18.20000076,0.01804006134,0.3283291301,entry,1,2,,,,
2021-12-21,2021-12-20,buy,XLV.US,136.9499969,0.002397438024,0.3283291301,entry,2,1,,,,
2021-12-27,2021-12-23,sell,XLRE.US,50.06000137,0.006462714954,0.3235235195,momentum,27,21,0.01213106146,18,-0.0139506397,0.02395878276
2021-12-27,2021-12-23,buy,SMH.US,154.6549988,0.002091904704,0.3235235195,entry,1,1,,,,
2021-12-29,2021-12-28,sell,XLV.US,140.2599945,0.002397438024,0.3362646441,momentum,28,23,0.0241693876,8,-0.00927348887,0.03066810545
2021-12-29,2021-12-28,buy,XSD.US,244.3399963,0.00137621613,0.3362646441,entry,2,2,,,,
2021-12-31,2021-12-30,sell,SMH.US,155.0099945,0.002091904704,0.3242661367,momentum,23,26,0.00229540416,4,-0.0007436260973,0.02783620296
2021-12-31,2021-12-30,buy,XLRE.US,51.72000122,0.006269646733,0.3242661367,entry,1,1,,,,
2022-01-04,2022-01-03,sell,DTCR.US,18.51000023,0.01804006134,0.3339215395,momentum,29,28,0.01703293698,14,-0.01208797865,0.0230769263
2022-01-04,2022-01-03,buy,XLY.US,105.3300018,0.003170241466,0.3339215395,entry,1,1,,,,
2022-01-05,2022-01-04,sell,XLRE.US,50.95999908,0.006269646733,0.3195011918,momentum,22,21,-0.01469454985,5,-0.02262184756,0.008700636845
2022-01-05,2022-01-04,buy,XLE.US,29.88999939,0.0106892338,0.3195011918,entry,1,1,,,,
2022-01-06,2022-01-05,sell,XSD.US,231.4700012,0.00137621613,0.3185527492,stop,34,33,-0.05267248633,8,-0.05218138737,0.02652046772
2022-01-06,2022-01-05,buy,XES.US,55.5,0.005739689175,0.3185527492,entry,2,2,,,,
2022-01-07,2022-01-06,sell,XLY.US,101.5800018,0.003170241466,0.322033134,stop,18,17,-0.03560239186,3,-0.0522168414,0.005459004446
