trade_date,equity,cash,cash_ratio,n_positions,daily_return,drawdown,turnover,positions
2021-11-24,1.005042709,1.110223025e-16,1.104652583e-16,3,0.005042709303,0,0.5,KBE.US;KRE.US;XLY.US
2021-11-26,0.9637401403,1.110223025e-16,1.151994172e-16,3,-0.04109533715,-0.04109533715,0,KBE.US;KRE.US;XLY.US
2021-11-29,0.9784911223,0.6450129477,0.6591914152,1,0.0153059745,-0.02641836683,0.3346404911,XLY.US
2021-11-30,0.9739855255,0.6450129477,0.662240794,1,-0.004604637387,-0.03090135722,0,XLY.US
2021-12-01,0.9680477951,0.6450129477,0.666302791,1,-0.006096323029,-0.03680929559,0,XLY.US
2021-12-02,0.9726499364,0.6450129477,0.6631501464,1,0.004754043444,-0.03223024514,0,XLY.US
2021-12-03,0.9662777314,0.6450129477,0.6675233495,1,-0.006551385874,-0.03857047824,0,XLY.US
2021-12-06,0.9699465685,0.6450129477,0.6649984326,1,0.003796876437,-0.03492004915,0,XLY.US
2021-12-07,0.9775256285,0.6450129477,0.659842493,1,0.007813894364,-0.02737901636,0,XLY.US
2021-12-08,0.9788157119,-1.110223025e-16,-1.134251332e-16,3,0.001319743832,-0.02609540581,0.6703256638,XHB.US;XLU.US;XSD.US
2021-12-09,0.9681606645,-1.110223025e-16,-1.146734282e-16,3,-0.01088565228,-0.03669699258,0,XHB.US;XLU.US;XSD.US
2021-12-10,0.9734785885,-1.110223025e-16,-1.140469896e-16,3,0.005492811559,-0.03140575069,0,XHB.US;XLU.US;XSD.US
2021-12-13,0.9630267928,-1.110223025e-16,-1.152847494e-16,3,-0.01073654404,-0.0418051055,0,XHB.US;XLU.US;XSD.US
2021-12-14,0.9538843375,-1.110223025e-16,-1.163896901e-16,3,-0.00949345891,-0.05090168936,0,XHB.US;XLU.US;XSD.US
2021-12-15,0.9656363787,0.3088245568,0.3198145427,2,0.01232019509,-0.03920861301,0.1618773601,XHB.US;XLU.US
2021-12-16,0.9646424938,0,0,3,-0.001029253765,-0.04019751116,0.1599072713,XHB.US;XLP.US;XLU.US
2021-12-17,0.9468791753,0,0,3,-0.01841440595,-0.05787170382,0,XHB.US;XLP.US;XLU.US
2021-12-20,0.9384721259,0.3061037604,0.3261724584,2,-0.008878692917,-0.06623657165,0.1616382366,XLP.US;XLU.US
2021-12-21,0.9375929582,0.3061037604,0.3264783057,2,-0.0009368074096,-0.06711132815,0,XLP.US;XLU.US
2021-12-22,0.9439831743,0,0,3,0.006815554703,-0.06075317438,0.1632391528,DTCR.US;XLP.US;XLU.US
2021-12-23,0.9456478692,0,0,3,0.001763479395,-0.05909683195,0,DTCR.US;XLP.US;XLU.US
2021-12-27,0.9604374783,0,0,3,0.01563965781,-0.04438142837,0.6723515982,DTCR.US;SMH.US;XHS.US
2021-12-28,0.9581938264,0,0,3,-0.002336072787,-0.04661382291,0,DTCR.US;SMH.US;XHS.US
2021-12-29,0.9577303777,0,0,3,-0.0004836691241,-0.04707494637,0,DTCR.US;SMH.US;XHS.US
2021-12-30,0.9548401661,0,0,3,-0.003017771643,-0.04995065657,0,DTCR.US;SMH.US;XHS.US
2021-12-31,0.9546823239,0,0,3,-0.0001653074868,-0.05010770684,0.3337036474,DTCR.US;XHS.US;XLRE.US
2022-01-03,0.951655099,0,0,3,-0.003170923794,-0.05311974291,0,DTCR.US;XHS.US;XLRE.US
2022-01-04,0.9446689955,0,0,3,-0.007341003577,-0.06007079427,0.3307676326,XHS.US;XLRE.US;XLY.US
2022-01-05,0.9208725185,0,0,3,-0.02519028055,-0.08374787466,0.6671029183,XES.US;XLE.US;XLY.US
2022-01-06,0.9369921343,0,0,3,0.0175047203,-0.06770913749,0,XES.US;XLE.US;XLY.US
2022-01-07,0.9394094982,0,0,3,0.002579919075,-0.06530390251,0,XES.US;XLE.US;XLY.US
2022-01-10,0.9327863232,0,0,3,-0.007050359875,-0.07189384637,0.3131288129,KRE.US;XES.US;XLE.US
2022-01-11,0.9574820541,0,0,3,0.0264752284,-0.04732202397,0,KRE.US;XES.US;XLE.US
2022-01-12,0.9570541731,0,0,3,-0.0004468815375,-0.04774775817,0,KRE.US;XES.US;XLE.US
2022-01-13,0.955703914,0,0,3,-0.001410849179,-0.04909124247,0,KRE.US;XES.US;XLE.US
2022-01-14,0.9789967195,0,0,3,0.02437240783,-0.02591530642,0,KRE.US;XES.US;XLE.US
2022-01-18,0.9676868221,0,0,3,-0.01155253858,-0.03716845743,0,KRE.US;XES.US;XLE.US
2022-01-19,0.9513503894,0,0,3,-0.01688194189,-0.05342292358,0,KRE.US;XES.US;XLE.US
2022-01-20,0.933524091,0,0,3,-0.01873788947,-0.07115978022,0,KRE.US;XES.US;XLE.US
2022-01-21,0.9118497471,0,0,3,-0.02321776598,-0.09272537507,0,KRE.US;XES.US;XLE.US
2022-01-24,0.9172789301,0.26669504,0.2907458476,2,0.005954032448,-0.08732343252,0.1462384789,XES.US;XLE.US
2022-01-25,0.9468986082,0.26669504,0.2816511057,2,0.03229080829,-0.05785236845,0,XES.US;XLE.US
2022-01-26,0.9453627639,0.26669504,0.2821086785,2,-0.0016219733,-0.05938050675,0,XES.US;XLE.US
2022-01-27,0.94123197,0.26669504,0.2833467716,2,-0.004369533097,-0.06349057476,0,XES.US;XLE.US
2022-01-28,0.9405996411,0.26669504,0.2835372547,2,-0.0006718098395,-0.06411973101,0,XES.US;XLE.US
2022-01-31,0.9413408993,0.26669504,0.2833139835,2,0.000788069775,-0.06338219205,0,XES.US;XLE.US
2022-02-01,0.975578751,0,0,3,0.03637136318,-0.0293161256,0.1416569918,MLPX.US;XES.US;XLE.US
2022-02-02,0.9749739145,0,0,3,-0.0006199771442,-0.02991792741,0,MLPX.US;XES.US;XLE.US
2022-02-03,0.963052301,0,0,3,-0.01222762302,-0.0417797253,0,MLPX.US;XES.US;XLE.US
2022-02-04,0.9786886966,0,0,3,0.0162362891,-0.0262217839,0,MLPX.US;XES.US;XLE.US
2022-02-07,0.9784869776,0,0,3,-0.0002061114657,-0.02642249076,0,MLPX.US;XES.US;XLE.US
2022-02-08,0.9612653712,0,0,3,-0.01760024082,-0.04355768937,0,MLPX.US;XES.US;XLE.US
2022-02-09,0.9726087967,0,0,3,0.01180051406,-0.03227117844,0.3454605758,MLPX.US;XLE.US;XME.US
2022-02-10,0.9710295715,0,0,3,-0.001623700306,-0.03384248002,0.2789989139,COPX.US;XLE.US;XME.US
2022-02-11,0.9758125119,0,0,3,0.004925638243,-0.02908353759,0.3738929445,COPX.US;URA.US;XME.US
2022-02-14,0.9722523774,0,0,3,-0.003648379672,-0.03262580948,0,COPX.US;URA.US;XME.US
2022-02-15,0.9872711453,0,0,3,0.01544739648,-0.01768239681,0,COPX.US;URA.US;XME.US
2022-02-16,0.9891669481,0,0,3,0.001920245284,-0.01579610607,0,COPX.US;URA.US;XME.US
2022-02-17,0.9832080654,0,0,3,-0.006024142553,-0.02172509063,0.360697519,COPX.US;XES.US;XME.US
2022-02-18,0.9710785828,0,0,3,-0.01233663857,-0.0337937146,0,COPX.US;XES.US;XME.US
2022-02-22,0.9626727324,0,0,3,-0.008656199992,-0.04215738944,0,COPX.US;XES.US;XME.US
2022-02-23,0.9649803064,0,0,3,0.002397049328,-0.03986139346,0,COPX.US;XES.US;XME.US
2022-02-24,0.9625351616,0,0,3,-0.002533880542,-0.04229426999,0,COPX.US;XES.US;XME.US
2022-02-25,0.9989419809,0,0,3,0.03782388506,-0.006070118534,0,COPX.US;XES.US;XME.US
2022-02-28,1.020741567,0,0,3,0.02182267499,0,0,COPX.US;XES.US;XME.US
2022-03-01,1.024216252,0,0,3,0.003404078908,0,0,COPX.US;XES.US;XME.US
2022-03-02,1.063458648,0,0,3,0.03831456082,0,0,COPX.US;XES.US;XME.US
2022-03-03,1.085618381,0,0,3,0.02083741877,0,0,COPX.US;XES.US;XME.US
2022-03-04,1.106852822,0,0,3,0.01955976521,0,0,COPX.US;XES.US;XME.US
2022-03-07,1.117266994,0,0,3,0.009408813689,0,0,COPX.US;XES.US;XME.US
2022-03-08,1.122740257,0,0,3,0.004898796517,0,0,COPX.US;XES.US;XME.US
2022-03-09,1.107487628,0,0,3,-0.01358518071,-0.01358518071,0,COPX.US;XES.US;XME.US
2022-03-10,1.150330031,0,0,3,0.03868431735,0,0,COPX.US;XES.US;XME.US
2022-03-11,1.128195756,0,0,3,-0.01924167376,-0.01924167376,0,COPX.US;XES.US;XME.US
2022-03-14,1.068700476,0,0,3,-0.0527348907,-0.0709618569,0,COPX.US;XES.US;XME.US
2022-03-15,1.050897366,0.2641409175,0.2513479679,2,-0.0166586524,-0.0864383804,0.1235804248,XES.US;XME.US
2022-03-16,1.050715157,0,0,3,-0.0001733845706,-0.08659677789,0.125673984,KIE.US;XES.US;XME.US
