trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2021-11-24,2021-11-23,buy,XLY.US,103.5749969,0.003218279924,0.3333333333,entry,1,1,,,,
2021-11-24,2021-11-23,buy,KRE.US,75.12000275,0.004437344531,0.3333333333,entry,2,2,,,,
2021-11-24,2021-11-23,buy,KBE.US,57.68999863,0.005778009036,0.3333333333,entry,3,5,,,,
2021-11-29,2021-11-26,sell,KRE.US,72.61000061,0.004437344531,0.3221955891,momentum,21,22,-0.03341323275,5,-0.06416399785,0.008519693374
2021-11-29,2021-11-26,sell,KBE.US,55.86999893,0.005778009036,0.3228173587,momentum,23,23,-0.03154792404,5,-0.05980234062,0.007453636946
2021-12-08,2021-12-07,sell,XLY.US,103.3949966,0.003218279924,0.332754042,momentum,26,24,-0.001737874106,14,-0.04610180099,0.01583393133
2021-12-08,2021-12-07,buy,XSD.US,248,0.001314202943,0.3259223299,entry,1,1,,,,
2021-12-08,2021-12-07,buy,XHB.US,85.68000031,0.003803948748,0.3259223299,entry,2,2,,,,
2021-12-08,2021-12-07,buy,XLU.US,34.5,0.009447024055,0.3259223299,entry,3,6,,,,
2021-12-15,2021-12-14,sell,XSD.US,234.9900055,0.001314202943,0.3088245568,momentum,31,30,-0.05245965527,7,-0.06729839694,0.008064516129
2021-12-16,2021-12-15,buy,XLP.US,75.91000366,0.004068298537,0.3088245568,entry,1,1,,,,
2021-12-20,2021-12-17,sell,XHB.US,80.47000122,0.003803948748,0.3061037604,momentum,29,29,-0.06080764549,12,-0.05007003852,0.01085434526
2021-12-22,2021-12-21,buy,DTCR.US,18,0.01700576447,0.3061037604,entry,1,1,,,,
2021-12-27,2021-12-23,sell,XLU.US,34.875,0.009447024055,0.3294649639,momentum,35,27,0.01086956522,19,-0.01101452371,0.03637684255
2021-12-27,2021-12-23,sell,XLP.US,75.30000305,0.004068298537,0.3063428922,momentum,32,26,-0.008035839559,11,-0.02476623359,0.01146087571
2021-12-27,2021-12-23,buy,SMH.US,154.6549988,0.002055568398,0.3179039281,entry,1,1,,,,
2021-12-27,2021-12-23,buy,XHS.US,105.0800018,0.003025351376,0.3179039281,entry,2,3,,,,
2021-12-31,2021-12-30,sell,SMH.US,155.0099945,0.002055568398,0.3186336461,momentum,23,26,0.00229540416,4,-0.0007436260973,0.02783620296
2021-12-31,2021-12-30,buy,XLRE.US,51.72000122,0.006160743205,0.3186336461,entry,1,1,,,,
2022-01-04,2022-01-03,sell,DTCR.US,18.51000023,0.01700576447,0.3147767042,momentum,29,28,0.02833334605,13,-0.001111136542,0.03444449107
2022-01-04,2022-01-03,buy,XLY.US,105.3300018,0.002988480952,0.3147767042,entry,1,1,,,,
2022-01-05,2022-01-04,sell,XHS.US,104.5299988,0.003025351376,0.3162399756,weak,31,32,-0.005234136298,9,-0.005234136298,0.02065091484
2022-01-05,2022-01-04,sell,XLRE.US,50.95999908,0.006160743205,0.3139514681,momentum,22,21,-0.01469454985,5,-0.02262184756,0.008700636845
2022-01-05,2022-01-04,buy,XLE.US,29.88999939,0.01054184437,0.3150957218,entry,1,1,,,,
2022-01-05,2022-01-04,buy,XES.US,56.02999878,0.005623696746,0.3150957218,entry,2,2,,,,
2022-01-10,2022-01-07,sell,XLY.US,98.43000031,0.002988480952,0.294156181,momentum,24,22,-0.06550841551,6,-0.05615684812,0.005459004446
2022-01-10,2022-01-07,buy,KRE.US,77.66000366,0.00378774359,0.294156181,entry,2,2,,,,
2022-01-24,2022-01-21,sell,KRE.US,70.41000366,0.00378774359,0.26669504,momentum,23,22,-0.09335564844,14,-0.08009272376,0.01480805875
2022-02-01,2022-01-31,buy,MLPX.US,38.33000183,0.006957866613,0.26669504,entry,2,2,,,,
2022-02-09,2022-02-08,sell,XES.US,59.04999924,0.005623696746,0.3320792886,weak,33,33,0.05389970594,35,-0.06603599909,0.09941102652
2022-02-09,2022-02-08,buy,XME.US,46.52999878,0.007136885822,0.3320792886,entry,1,1,,,,
2022-02-10,2022-02-09,sell,MLPX.US,39,0.006957866613,0.2713567979,weak,36,36,0.01747973224,9,-0.003652574945,0.03574220888
