market,strategy_id,strategy_name,start,end,cagr,sharpe,max_drawdown,win_rate,avg_trade_return,avg_holding_days,trade_count,trades_per_year,turnover,mae,mfe,cash_ratio,total_return,final_equity
CN,A_baseline,Baseline Entry#1 / hold top2,2021-12-02,2026-08-26,-0.1924909698,-0.3770281316,-0.6794600185,0.4047619048,-0.001069111165,3.424603175,504,106.4583333,0.4386896444,-0.02033945129,0.0263398643,0,-0.6365766412,0.3634233588
CN,B_entry1_mom10,Entry#1 + Momentum>10 exit,2021-12-02,2026-08-26,-0.117332801,-0.01880449413,-0.5983798349,0.3741935484,-0.001465869771,11.10322581,155,32.74016204,0.1352317391,-0.03493165151,0.0574001594,0,-0.4461532955,0.5538467045
CN,C_entry1_mom20,Entry#1 + Momentum>20 exit,2021-12-02,2026-08-26,0.04648492695,0.3734379119,-0.6184829017,0.3382352941,0.01701483617,25.39705882,68,14.36342593,0.05964301213,-0.05104818176,0.1046420794,0,0.239997417,1.239997417
CN,D_top3_mom10,Entry Top3 EW + Momentum>10 exit,2021-12-02,2026-08-26,-0.07204806279,-0.08555881368,-0.4853268296,0.3659003831,-0.0008561275971,9.883141762,522,110.2604167,0.1492743528,-0.03002089889,0.04978432022,6.431528333e-19,-0.2981284678,0.7018715322
CN,E_top3_mom20,Entry Top3 EW + Momentum>20 exit,2021-12-02,2026-08-26,0.03441398001,0.2741142792,-0.4756365632,0.341991342,0.004500964126,22.30735931,231,48.79340278,0.06460709347,-0.04531048516,0.0862484272,4.859687779e-19,0.1737262692,1.173726269
CN,F_top3_absolute,Top3 + absolute momentum filter,2021-12-02,2026-08-26,0.1578769103,0.6327793598,-0.3114885697,0.3732718894,0.008616760981,23.4516129,217,45.83622685,0.0594979433,-0.04526345219,0.09195305272,0.006504879904,1.001674556,2.001674556
CN,G_f_stop,F + trailing volatility stop,2021-12-02,2026-08-26,-0.004045138894,0.177994381,-0.4689319745,0.4107981221,0.003790294501,10.90610329,426,89.98263889,0.1337950949,-0.03620777826,0.05520214584,0.02417873361,-0.01900657651,0.9809934235
CN,H_f_riskoff,F + breadth risk-off,2021-12-02,2026-08-26,0.05795418796,0.3472952599,-0.4528353482,0.400990099,0.007671735985,23.80693069,202,42.66782407,0.05789779223,-0.04692023649,0.09718175141,0.04722810847,0.3056661892,1.305666189
CN,I_hysteresis,Hysteresis Top3,2021-12-02,2026-08-26,-0.04680319064,0.03865006182,-0.4765029801,0.3604060914,-0.002035211452,25.96446701,197,41.61168981,0.05496777097,-0.05179595649,0.09137641652,1.907813853e-18,-0.2030240786,0.7969759214
US,A_baseline,Baseline Entry#1 / hold top2,2021-11-24,2026-08-26,0.1249035797,0.5225438661,-0.4634474673,0.4925373134,0.001504393124,3.235074627,536,112.6958525,0.4505527891,-0.01780357031,0.01867070679,0,0.7503010918,1.750301092
US,B_entry1_mom10,Entry#1 + Momentum>10 exit,2021-11-24,2026-08-26,0.02777958997,0.2419040345,-0.5010884165,0.4870466321,0.001871082524,8.994818653,193,40.57891705,0.1623308239,-0.02761155962,0.03911335543,0,0.1391956137,1.139195614
US,C_entry1_mom20,Entry#1 + Momentum>20 exit,2021-11-24,2026-08-26,0.300119839,1.019286142,-0.3465445858,0.5,0.01533539583,17.28,100,21.02534562,0.08433365559,-0.0332017091,0.06395909503,0,2.484365604,3.484365604
US,D_top3_mom10,Entry Top3 EW + Momentum>10 exit,2021-11-24,2026-08-26,0.1256445173,0.5832288622,-0.3605580024,0.4731543624,0.00353675931,8.733221477,596,125.3110599,0.165442469,-0.02516031427,0.03768817047,1.535011491e-18,0.7557911022,1.755791102
US,E_top3_mom20,Entry Top3 EW + Momentum>20 exit,2021-11-24,2026-08-26,0.2358414043,0.9552662234,-0.3189517848,0.48125,0.01113673057,16.246875,320,67.28110599,0.08875704577,-0.03159960965,0.0588364701,9.149075566e-19,1.737725585,2.737725585
US,F_top3_absolute,Top3 + absolute momentum filter,2021-11-24,2026-08-26,0.1897846935,0.8006438878,-0.3501695246,0.461038961,0.009882325985,16.22077922,308,64.75806452,0.0872160395,-0.03253000257,0.05918297538,0.01752247687,1.285283105,2.285283105
US,G_f_stop,F + trailing volatility stop,2021-11-24,2026-08-26,0.1470059895,0.6689790329,-0.2701909352,0.435207824,0.005909595975,11.60146699,409,85.99366359,0.1203233508,-0.02760511326,0.04803300789,0.03729091261,0.9200131051,1.920013105
US,H_f_riskoff,F + breadth risk-off,2021-11-24,2026-08-26,0.1655919256,0.729069617,-0.3253203113,0.4615384615,0.009021811456,16.0735786,299,62.86578341,0.08396378531,-0.03244851768,0.05810680544,0.05503589012,1.072555825,2.072555825
US,I_hysteresis,Hysteresis Top3,2021-11-24,2026-08-26,0.3099480755,1.163412856,-0.2154959303,0.4959677419,0.01756766096,20.88709677,248,52.14285714,0.06855642288,-0.03553620282,0.07287242137,8.520302696e-19,2.611434019,3.611434019
